IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Japan;BSDGHER;1,84142107170292;,453231874266449;1140936,12775001;4729;16492,1355697301;,0100580439533115;,00688750947235272;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Japan;BSDGSLM;2,49373460904152;,658399985822836;1140936,12775001;4729;16492,1355697301;,0144698799207955;,00774382921446621;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Jordan;BSDGHER;2,16478875034523;,489813661976556;121040,466538001;7649;2567,53790119393;,0132954521952379;,0066699027128973;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Jordan;BSDGSLM;1,85297458500448;,777565653834099;121040,466538001;7649;2567,53790119393;,0167381048999441;,00538580699958953;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kazakhstan;BSDGHER;1,99911007699463;,461518604400301;229626,375277999;4843;6254,73524101637;,0174500295765205;,0114928990547935;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kazakhstan;BSDGSLM;1,77671148299962;,638299405799284;229626,375277999;4843;6254,73524101637;,01923625605675;,00799800772195658;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Korea, Republic of;BSDGHER;1,65380346044506;,529816348395236;566636,275908993;5301;6879,07469673907;,0140966576918694;,00442195127764766;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Korea, Republic of;BSDGSLM;2,50218585762539;,639985017421759;566636,275908993;5301;6879,07469673907;,0111564683066198;,00682430072369448;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kuwait;BSDGHER;2,08144956386676;,419436476441706;35319,7197680001;4097;733,471192139287;,0123624125073207;,0117466689231888;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kuwait;BSDGSLM;2,0998452438231;,783516913971649;35319,7197680001;4097;733,471192139287;,0231635181336765;,00690166630687863;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
