IDCNTRY;BSBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Jordan;Boy;BSDGSLM;3491;60014,9005340001;3259,06980522823;61671,64772;3361,96415268248;49,060605946004;2,58754441711115;49,5266618444635;2,58278994518664;1,8082009941768;,0240149524935479;,760970329752213;,00764717101267908;,579075842763192;,0116380517434521;3,47678523479644;2,68640006753496;60;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Korea, Republic of;Girl;BSDGSLM;2603;268757,570203001;4304,44041621594;268958,512374001;4301,63425919917;47,4150705937311;,547594236563721;47,4138831718148;,548383605830003;2,56370642396627;,0143649479608093;,609470244579801;,0104702920058941;,371453979028162;,0127624172245353;1,44602988068301;,0747112144644;61;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Korea, Republic of;Boy;BSDGSLM;2701;298061,305815997;4971,77157914715;298298,363421997;4979,12238946081;52,5849294062689;,547594236563722;52,5861168281852;,54838360583;2,44701862628976;,0162777084711153;,661364247210172;,00957762767744649;,437402667487878;,0126681178871914;1,6361747613338;,0794699653328768;60;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kuwait;Girl;BSDGSLM;2125;18227,657293;959,332294323307;18302,778577;962,511268476125;51,1376221200505;2,64430132110286;50,6966048365782;2,66452099670293;2,23803787229784;,033285182385383;,780072514430324;,00885835646942347;,608513127769649;,013819646450784;3,86892993137062;,410436501124481;60;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Kuwait;Boy;BSDGSLM;2013;17416,6619719999;1058,75322395438;17799,7940429999;1115,73382844627;48,8623778799495;2,64430132110285;49,3033951634218;2,66452099670294;1,95334329676339;,0263436152711264;,759282240712674;,00959524082590878;,576509521061659;,0145719786387951;2,42319319789521;2,15245227037149;59;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lebanon;Girl;BSDGSLM;2047;31158,5144260002;1238,92553720251;31692,8381070002;1291,77692231392;53,7229031224758;1,62203431572831;53,3790072074065;1,61622283751916;1,96477208322601;,0260158345109746;,742874452901132;,0115791376576644;,551862452773156;,0172032603314469;2,5105132537501;1,68594456323551;70;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lebanon;Boy;BSDGSLM;1747;26840,053438;1182,29736454262;27680,386996;1247,76182888822;46,2770968775242;1,62203431572831;46,6209927925934;1,61622283751917;1,86697984248626;,0282640038193697;,721831863025706;,0144745817000643;,521041238479162;,0208948336482759;2,67847855606436;3,03584468714774;70;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lithuania;Girl;BSDGSLM;2097;13523,709385;362,406914100608;13528,543494;362,067018009869;49,7718106586018;,819977329267301;49,7086125516973;,821846261946099;2,31076597569166;,0282494850337146;,719518450148414;,0116650519167755;,517706800103976;,0167858045624514;3,23247840139829;,0357326640679684;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Lithuania;Boy;BSDGSLM;2228;13647,713969;321,989041720718;13687,149722;322,903640908703;50,2281893413982;,819977329267302;50,2913874483027;,821846261946098;2,25610388479267;,0235958354359326;,70192464071446;,0102753348532468;,492698201242123;,0144245033544309;2,51770549048809;,288122463777927;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;Girl;BSDGSLM;5007;221770,906354999;8260,11386306662;222157,864403999;8264,17769183127;49,775358503078;1,80477181344175;49,7192655483566;1,8040852282845;1,81556272624631;,0201488781135394;,648289924540031;,00703579654150958;,420279826260119;,00912222507974988;4,83660685140258;,174181566805264;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
