"";"ASBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"37";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Singapore";47,0203445808808;0,772503629710144;49,3692359688867;0,631736483719135;2,34889138800584;0,997924267054953;2,35377720088702;479,2706453246;4,34516716506875;585,042945512088;3,46232422106859;105,772300187489;5,55591276967069;19,0377899316367;"95 to 117";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"38";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Slovak Republic";47,0203445808808;0,772503629710144;48,9892229645315;0,967117003772357;1,96887838365073;1,23777104381261;1,59066443951229;479,2706453246;4,34516716506875;539,456074635588;3,66524906241856;60,1854293109881;5,68458691392363;10,5874763148703;"49 to 71";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"39";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Slovenia";47,0203445808808;0,772503629710144;49,5936916517065;0,880752159676293;2,5733470708257;1,17153157221212;2,19656655600551;479,2706453246;4,34516716506875;551,892078609878;2,31119488898001;72,6214332852781;4,92159521976757;14,7556696645011;"63 to 82";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"40";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"South Africa";47,0203445808808;0,772503629710144;48,0064933159891;0,744557748424083;0,986148735108262;1,07290637925855;0,919137731094262;479,2706453246;4,34516716506875;347,173400689689;3,93667824213928;-132,097244634911;5,86326813940182;-22,5296270772955;"-144 to -121";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"41";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Spain";47,0203445808808;0,772503629710144;49,3976972098326;0,618326380967777;2,37735262895182;0,989489449825543;2,40260533285218;479,2706453246;4,34516716506875;532,061124494703;1,42301988461326;52,7904791701034;4,57224925877805;11,545844546588;"44 to 62";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"42";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Sweden";47,0203445808808;0,772503629710144;48,7411464390473;0,955231667759886;1,7208018581665;1,22850697881888;1,40072615608658;479,2706453246;4,34516716506875;563,385204757085;2,75362308236256;84,1145594324853;5,14421206523521;16,351300911744;"74 to 94";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"43";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Trinidad And Tobago";47,0203445808808;0,772503629710144;52,0487168687784;1,79934617600775;5,02837228789758;1,95816457914779;2,56790074820267;479,2706453246;4,34516716506875;489,853848266493;3,79866895809252;10,5832029418932;5,77151310711215;1,83369642336109;"-1 to 22";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"44";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"United Arab Emirates";47,0203445808808;0,772503629710144;48,7296571137058;2,08909363064045;1,70931253282498;2,22734686465711;0,767420898804699;479,2706453246;4,34516716506875;465,450824894029;4,23820654891043;-13,819820430571;6,06983298317333;-2,27680406839562;"-26 to -2";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"45";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Egypt";47,0203445808808;0,772503629710144;49,4541590210219;1,16350039650552;2,43381444014111;1,39660124251121;1,74266953662801;479,2706453246;4,34516716506875;349,43913486752;5,56787577500747;-129,83151045708;7,06269908309187;-18,3827045340069;"-144 to -116";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"46";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"United States";47,0203445808808;0,772503629710144;49,5591204640494;0,695888789858873;2,53877588316853;1,03972259077438;2,44178197693834;479,2706453246;4,34516716506875;553,743596690236;3,18418434984986;74,4729513656361;5,38697574397921;13,82463090703;"64 to 85";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"47";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"England";47,0203445808808;0,772503629710144;50,0287426131318;0,837530685276162;3,00839803225102;1,13939435960273;2,64034836305488;479,2706453246;4,34516716506875;566,817186095292;2,11940548019923;87,5465407706926;4,8344965903277;18,1087191054898;"78 to 97";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"48";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Northern Ireland";47,0203445808808;0,772503629710144;50,2882918063973;1,21366970341671;3,26794722551649;1,43866466103361;2,27151421316531;479,2706453246;4,34516716506875;573,702627244172;2,79594109056189;94,4319819195722;5,166987930534;18,2760213859862;"84 to 105";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"49";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Belgium (Flemish)";47,0203445808808;0,772503629710144;50,4743863731034;0,935196897735765;3,45404179222263;1,21299426851488;2,84753348130124;479,2706453246;4,34516716506875;530,269451849733;2,12108345488347;50,9988065251331;4,835232436499;10,5473329762114;"42 to 60";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"50";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Belgium (French)";47,0203445808808;0,772503629710144;49,9598292795792;1,0297964008373;2,93948469869834;1,28733930457079;2,28337990478617;479,2706453246;4,34516716506875;503,179580232472;2,47828440576171;23,9089349078719;5,00223662857259;4,77964892170534;"14 to 34";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"51";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Norway (4)";47,0203445808808;0,772503629710144;49,5384471894052;0,715432419391202;2,51810260852443;1,05290332159762;2,39158007850483;479,2706453246;4,34516716506875;525,792193562361;2,42062904089173;46,5215482377611;4,97392427023171;9,35308736326898;"37 to 56";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"52";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"South Africa (Eng/Afr)";47,0203445808808;0,772503629710144;50,5015094153549;0,821091315394034;3,48116483447411;1,1273654270603;3,08787616766956;479,2706453246;4,34516716506875;422,030973431635;5,96439973978848;-57,2396718929648;7,37933208009916;-7,75675511979339;"-72 to -43";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"53";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"United Arab Emirates (Dubai)";47,0203445808808;0,772503629710144;48,0757552608303;3,01654118348904;1,05541067994949;3,11388544580574;0,338936899997744;479,2706453246;4,34516716506875;522,217498057459;3,60322146680336;42,9468527328596;5,64479252331068;7,60822520145898;"32 to 54";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"54";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"United Arab Emirates (Abu Dhabi)";47,0203445808808;0,772503629710144;47,1937149665131;3,44325996966891;0,173370385632244;3,5288526572584;0,0491293920350125;479,2706453246;4,34516716506875;435,245384710597;7,34180679548793;-44,0252606140033;8,53127216273543;-5,16045670261295;"-61 to -27";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"55";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Canada (Ontario)";47,0203445808808;0,772503629710144;48,1816661722715;1,0597295999946;1,16132159139066;1,31140713854244;0,885553812587459;479,2706453246;4,34516716506875;550,295079910256;3,61447406459041;71,0244345856561;5,65198199360086;12,566288191659;"60 to 82";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
