IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Mexico;HOMELIT;1,42612612009107;1,19871688492112;1993396,86347502;6515;46930,6740482226;,0286307297569786;,016878504821785;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Mexico;HISCED;2,77308022733813;1,53520016976683;1993396,86347502;6515;46930,6740482226;,0467151257700719;,0194241712891794;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Netherlands;HOMELIT;2,21956155931329;1,38805938242433;151672,404161202;1848;13359,75406605;,108829671681123;,03665069588802;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Netherlands;HISCED;3,64014320893473;,968430423722291;151672,404161202;1848;13359,75406605;,0641383200103388;,045667540813377;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
New Zealand;HOMELIT;2,56965316094372;1,36999302737318;49597,0785626161;3412;1414,24927406209;,0401494091143685;,0190523298364579;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
New Zealand;HISCED;3,99674664797241;,973959378176381;49597,0785626161;3412;1414,24927406209;,0244357159386263;,0184057380268065;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Norway;HOMELIT;2,76779373666356;1,29400062785341;55468,3100256759;2804;1134,1434440822;,0411066830435973;,0180644389649383;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Norway;HISCED;4,23382876099209;,925502968588604;55468,3100256759;2804;1134,1434440822;,0265747089989194;,016469011096464;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Paraguay;HOMELIT;1,07638263889897;1,12384497471449;85446,1217268435;3281;3925,51091248245;,0394202877663714;,0225544701949577;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Paraguay;HISCED;2,59089582553127;1,58282674578143;85446,1217268435;3281;3925,51091248245;,0490674736849361;,0186012597405711;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Poland;HOMELIT;2,61295862458425;1,26890012237455;428522,648855312;3170;7219,52400090162;,0434920327465811;,0180452152634524;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Poland;HISCED;3,62539399709959;,886370240652798;428522,648855312;3170;7219,52400090162;,0325034184839642;,0128687796855416;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Russian Federation;HOMELIT;2,52551549921387;1,24438414206411;1257999,84043029;4247;21520,1113243756;,0385871822635741;,0178138844662569;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
