IDCNTRY;Variable;BSSSCI0_;BSMALG0_;BSSSCI0_.se;BSMALG0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Lithuania;BSMALG0_;,766391836104917;1;,0112335793017388;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;BSSSCI0_;1;,712504931681515;0;,0127536409933807; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malaysia;BSMALG0_;,712504931681515;1;,0127536409933807;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;BSSSCI0_;1;,797822400976892;0;,0112550069206694; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Malta;BSMALG0_;,797822400976892;1;,0112550069206694;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;BSSSCI0_;1;,632302935562328;0;,0120424748809186; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Morocco;BSMALG0_;,632302935562328;1;,0120424748809186;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;BSSSCI0_;1;,767791926655911;0;,0093911892530404; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
New Zealand;BSMALG0_;,767791926655911;1;,0093911892530404;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;BSSSCI0_;1;,694289103347037;0;,0109697955622364; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway;BSMALG0_;,694289103347037;1;,0109697955622364;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);BSSSCI0_;1;,650352240634225;0;,0143766528184705; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Norway (8);BSMALG0_;,650352240634225;1;,0143766528184705;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;BSSSCI0_;1;,698427650785317;0;,0109104451756443; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Oman;BSMALG0_;,698427650785317;1;,0109104451756443;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;BSSSCI0_;1;,775584086099392;0;,0101661641321878; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Qatar;BSMALG0_;,775584086099392;1;,0101661641321878;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;BSSSCI0_;1;,713092674161754;0;,0144980166721693; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Russian Federation;BSMALG0_;,713092674161754;1;,0144980166721693;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;BSSSCI0_;1;,604955723949484;0;,0294800955268555; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;BSMALG0_;,604955723949484;1;,0294800955268555;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;BSSSCI0_;1;,826068639593551;0;,00952422320196368; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;BSMALG0_;,826068639593551;1;,00952422320196368;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;BSSSCI0_;1;,736615792950754;0;,0111575980600968; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;BSMALG0_;,736615792950754;1;,0111575980600968;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;BSSSCI0_;1;,736884784097748;0;,0189779120100893; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;BSMALG0_;,736884784097748;1;,0189779120100893;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;BSSSCI0_;1;,694603138237399;0;,0137199441261373; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;BSMALG0_;,694603138237399;1;,0137199441261373;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;BSSSCI0_;1;,723298791973365;0;,0203899155829631; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;BSMALG0_;,723298791973365;1;,0203899155829631;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;BSSSCI0_;1;,809186264520347;0;,0102420741022369; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;BSMALG0_;,809186264520347;1;,0102420741022369;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;BSSSCI0_;1;,784029872065617;0;,00581553620272343; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;BSMALG0_;,784029872065617;1;,00581553620272343;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);BSSSCI0_;1;,784876118347293;0;,0114585348162927; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);BSMALG0_;,784876118347293;1;,0114585348162927;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);BSSSCI0_;1;,760695998972488;0;,0100770679723353; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);BSMALG0_;,760695998972488;1;,0100770679723353;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;BSSSCI0_;1;,768191296727496;0;,0079446236925963; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;BSMALG0_;,768191296727496;1;,0079446236925963;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;BSSSCI0_;1;,72322190633688;0;,0022066085782813; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average;BSMALG0_;,72322190633688;1;,0022066085782813;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
