"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"23";"Iceland";"GIRL";"ASRREA0";1812;2187,58170699999;38,4401502206188;49,5091882127994;0,76494474287329;522,578551943726;1,8853665671046;"519 to 526";2,64143637375533;0,913170718600453;71,3871061849576;1,34491430136576;5096,41397187406;192,736822756152;1,32467247583021;0,954061973174085;0,93914716026976;1,34570990528998;1,26381963609997;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"24";"Iceland";"BOY";"ASRREA0";1834;2230,95510599999;36,414106502784;50,4908117872006;0,764944742873285;503,473311421905;1,50062947010416;"501 to 506";2,16923737602166;0,0826514305234477;76,3264525735575;1,72137809747664;5826,87823311471;264,170327016771;1,02601439699195;0,690807233018552;0,682763769631257;1,03810160724551;0,708778166623208;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"25";"Iran, Islamic Republic of";"GIRL";"ASRREA0";3874;989953,341983994;78314,0460797684;54,6211903101782;3,55478170558178;426,126393890456;5,70405293346318;"415 to 437";31,6737016602834;0,862518207466483;90,7460533873486;2,24375666056876;8235,24730991625;405,144151708513;1,4057431926424;10,8878988017773;14,8998464301354;1,02723136742012;15,3055896227778;0;64;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"26";"Iran, Islamic Republic of";"BOY";"ASRREA0";3552;822444,623644985;72667,0949619636;45,3788096898218;3,55478170558179;399,068996959793;5,59539600238483;"388 to 410";30,7266987729745;0,581757650529638;91,835932799286;2,20524320771414;8433,8781513273;405,792319610846;1,245012215923;10,5909197823902;12,9408122910134;1,01893329494418;13,1858245069364;0;64;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"27";"Israel";"GIRL";"ASRREA0";2018;43131,5794179997;1408,78035313122;50,5114636088609;1,31952841938941;519,919230702472;3,42982094401244;"513 to 527";10,1563425582682;1,60732914971822;90,1866989053228;2,18620329162244;8134,21835190539;395,45467430646;1,39875868630593;2,08643776594329;2,51966426224399;1,15825865861621;2,91842294854991;0;72;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"28";"Israel";"BOY";"ASRREA0";1937;42258,1050939998;1276,57996804711;49,4885363911391;1,31952841938941;498,544215658805;3,66371791049692;"491 to 506";12,8556266949632;0,567202232732725;95,5557145322454;2,62699216448568;9131,18927547543;507,554749134045;1,12032066050302;2,54158117826037;2,72706524384768;1,04412093211721;2,8473859043507;0;73;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"29";"Italy";"GIRL";"ASRREA0";1681;274495,918303001;5917,71484555007;47,8785120420969;0,859175033879417;544,77041800554;2,59428631560721;"540 to 550";6,60631567833656;0,124005809010292;70,5433478422295;1,83815292906183;4976,82188109654;260,916125641733;1,04188491570053;2,18188408727396;2,23138720263723;1,01877079677208;2,27327211833776;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"30";"Italy";"BOY";"ASRREA0";1821;298821,644410001;7508,9031307282;52,1214879579031;0,859175033879417;537,016264371154;2,71249642567893;"532 to 542";6,98587725620775;0,371759603113221;71,3024639074963;1,6602788470428;5084,34917784646;235,752130219722;1,13314865159515;2,32555191844833;2,5020473690091;1,05321587962097;2,63519602060425;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"31";"Kuwait";"GIRL";"ASRREA0";4019;10734,3075130003;81,3734244222768;48,0966760143517;0,31632822410081;421,600920146216;5,61931376165812;"411 to 433";31,3052318471076;0,271455304852789;81,188162889289;2,3626267354652;6591,75147280337;384,858476715101;1,16550667522958;16,5184381070001;19,0868432028457;1,0086712440329;19,2523498780753;0;45;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"32";"Kuwait";"BOY";"ASRREA0";3107;11583,882438;118,818482625444;51,9033239856483;0,316328224100795;373,184948936649;6,29366809502784;"361 to 386";37,3891600295013;2,22109806087004;89,5715895493243;2,21401931047417;8023,4897274761;396,637459450153;1,86009353903591;8,24614259032498;14,4785030151965;1,0594048665206;15,3385965542324;0;38;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
