IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Estonia;HISCED;SGENDER;BOY;BOY;49,1890466770329;1,05001399373663;49,1890466770329;1,05001399373663;0; ; ;3,98920901518602;,0400396421562317;3,98920901518602;,0400396421562317;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;HISCED;SGENDER;BOY;GIRL;49,1890466770329;1,05001399373663;50,8109533229671;1,05001399373662;1,62190664593422;2,10002798747325;,772326204988198;3,98920901518602;,0400396421562317;3,93837045975793;,0384413580847523;-,0508385554280943;,0412977111793461;-1,23102598125389;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;HISCED;SGENDER;GIRL;BOY;50,8109533229671;1,05001399373662;49,1890466770329;1,05001399373663;-1,62190664593422;2,10002798747325;-,772326204988198;3,93837045975793;,0384413580847523;3,98920901518602;,0400396421562317;,0508385554280943;,0412977111793461;1,23102598125389;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;HISCED;SGENDER;GIRL;GIRL;50,8109533229671;1,05001399373662;50,8109533229671;1,05001399373662;0; ; ;3,93837045975793;,0384413580847523;3,93837045975793;,0384413580847523;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;HISCED;SGENDER;BOY;BOY;48,5745279850073;,999838931707328;48,5745279850073;,999838931707328;0; ; ;3,83559927159066;,0296736814170643;3,83559927159066;,0296736814170643;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;HISCED;SGENDER;BOY;GIRL;48,5745279850073;,999838931707328;51,4254720149927;,999838931707337;2,85094402998536;1,99967786341467;1,42570165032335;3,83559927159066;,0296736814170643;3,774856828309;,0283425315829347;-,0607424432816641;,0340832101343149;-1,78218081695623;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;HISCED;SGENDER;GIRL;BOY;51,4254720149927;,999838931707337;48,5745279850073;,999838931707328;-2,85094402998536;1,99967786341467;-1,42570165032335;3,774856828309;,0283425315829347;3,83559927159066;,0296736814170643;,0607424432816641;,0340832101343149;1,78218081695623;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;HISCED;SGENDER;GIRL;GIRL;51,4254720149927;,999838931707337;51,4254720149927;,999838931707337;0; ; ;3,774856828309;,0283425315829347;3,774856828309;,0283425315829347;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;HISCED;SGENDER;BOY;BOY;49,2742090848435;1,05429135947712;49,2742090848435;1,05429135947712;0; ; ;3,7127543298852;,0444954190347009;3,7127543298852;,0444954190347009;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;HISCED;SGENDER;BOY;GIRL;49,2742090848435;1,05429135947712;50,7257909151565;1,05429135947712;1,4515818303129;2,10858271895424;,68841588108662;3,7127543298852;,0444954190347009;3,72916748345929;,0455735322770885;,0164131535740926;,0537416847365633;,305408244169276;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
