SGENDER;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;PVCIV;IDCNTRY;Bulgaria;Dominican Republic;48,2132189312346;1,64635895822538;45,508370833808;1,16760123263463;-2,70484809742653;2,01836331164111;-1,34011953240829;453,507676521741;6,12809218171747;366,935747392683;2,66770402321309;-86,5719291290584;6,68357378526594;-12,9529398358566;-100 to -73;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Estonia;48,2132189312346;1,64635895822538;49,2863436410666;1,0450163949962;1,07312470983201;1,9500146371604;,550316233212837;453,507676521741;6,12809218171747;508,660526368369;4,91257347260286;55,1528498466281;7,85410032475701;7,02217282261855;40 to 71;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Finland;48,2132189312346;1,64635895822538;48,860456982295;1,01260822413369;,647238051060472;1,93284071638409;,334863626150897;453,507676521741;6,12809218171747;562,303757192459;3,5481424437046;108,796080670718;7,08116011600111;15,3641605172681;95 to 123;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Greece;48,2132189312346;1,64635895822538;49,3574998774187;1,05467477640965;1,1442809461841;1,95520758573705;,585247804136736;453,507676521741;6,12809218171747;459,738855207228;5,11499013299962;6,23117868548629;7,98227021894838;,780627379751523;-9 to 22;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Guatemala;48,2132189312346;1,64635895822538;51,3146493662706;1,37658682755837;3,101430435036;2,14604033352968;1,44518739306961;453,507676521741;6,12809218171747;433,770600575479;4,25777799110606;-19,7370759462617;7,46204979943004;-2,64499386586368;-34 to -5;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Hong Kong, SAR;48,2132189312346;1,64635895822538;50,749858374188;3,22150643908362;2,53663944295347;3,61781723645435;,701151903803606;453,507676521741;6,12809218171747;543,345770578034;8,34214673235612;89,8380940562934;10,35108331972;8,67910065849254;70 to 110;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Indonesia;48,2132189312346;1,64635895822538;47,3113976104194;1,11621390355547;-,901821320815121;1,98907800194449;-,45338660421236;453,507676521741;6,12809218171747;422,953577665082;3,52998882766749;-30,5540988566591;7,07208137050784;-4,32038282026512;-44 to -17;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Ireland;48,2132189312346;1,64635895822538;51,9578088337001;1,72990419786022;3,74458990246556;2,38810936791081;1,56801441038751;453,507676521741;6,12809218171747;523,430711535006;5,98253899276231;69,9230350132645;8,5641278941611;8,16464161644958;53 to 87;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Italy;48,2132189312346;1,64635895822538;51,8381867170116;,770213267114702;3,62496778577707;1,81761555235656;1,99435341597801;453,507676521741;6,12809218171747;522,058539901084;3,9103149724763;68,5508633793434;7,26939316391672;9,43006683413564;54 to 83;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;PVCIV;IDCNTRY;Bulgaria;Korea, Republic of;48,2132189312346;1,64635895822538;56,8232795517103;2,48768596788337;8,61006062047573;2,98313246339025;2,88624817239615;453,507676521741;6,12809218171747;555,409825545922;2,2902498859974;101,902149024181;6,54207599527382;15,5764239207551;89 to 115;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
