"";"IDCNTRY";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"58";"Bulgaria";90;"ASRREA0";"ASBG01";"Girl";"Boy";660,338932;3,88869285688319;644,680254;4,3687265722205;-15,658678;5,23909385599115;-2,9888141786377;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"59";"Bulgaria";90;"ASRREA0";"ASBG01";"Boy";"Girl";644,680254;4,3687265722205;660,338932;3,88869285688319;15,658678;5,23909385599115;2,9888141786377;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"60";"Bulgaria";90;"ASRREA0";"ASBG01";"Boy";"Boy";644,680254;4,3687265722205;644,680254;4,3687265722205;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"61";"Canada";10;"ASRREA0";"ASBG01";"Girl";"Girl";451,70147;5,26752451358507;451,70147;5,26752451358507;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"62";"Canada";10;"ASRREA0";"ASBG01";"Girl";"Boy";451,70147;5,26752451358507;437,902722;3,94664602223382;-13,798748;5,39206244325988;-2,55908534910395;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"63";"Canada";10;"ASRREA0";"ASBG01";"Boy";"Girl";437,902722;3,94664602223382;451,70147;5,26752451358507;13,798748;5,39206244325988;2,55908534910395;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"64";"Canada";10;"ASRREA0";"ASBG01";"Boy";"Boy";437,902722;3,94664602223382;437,902722;3,94664602223382;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"65";"Canada";50;"ASRREA0";"ASBG01";"Girl";"Girl";555,426922;2,74331847059982;555,426922;2,74331847059982;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"66";"Canada";50;"ASRREA0";"ASBG01";"Girl";"Boy";555,426922;2,74331847059982;543,079314;2,45844277454366;-12,347608;3,11725464755511;-3,96105207820746;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"67";"Canada";50;"ASRREA0";"ASBG01";"Boy";"Girl";543,079314;2,45844277454366;555,426922;2,74331847059982;12,347608;3,11725464755511;3,96105207820746;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"68";"Canada";50;"ASRREA0";"ASBG01";"Boy";"Boy";543,079314;2,45844277454366;543,079314;2,45844277454366;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"69";"Canada";90;"ASRREA0";"ASBG01";"Girl";"Girl";639,552372;2,55173600200413;639,552372;2,55173600200413;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"70";"Canada";90;"ASRREA0";"ASBG01";"Girl";"Boy";639,552372;2,55173600200413;628,955214;2,7498249146111;-10,597158;3,09316774823223;-3,42598877996719;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"71";"Canada";90;"ASRREA0";"ASBG01";"Boy";"Girl";628,955214;2,7498249146111;639,552372;2,55173600200413;10,597158;3,09316774823223;3,42598877996719;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"72";"Canada";90;"ASRREA0";"ASBG01";"Boy";"Boy";628,955214;2,7498249146111;628,955214;2,7498249146111;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"73";"Chile";10;"ASRREA0";"ASBG01";"Girl";"Girl";398,22178;7,95345629628213;398,22178;7,95345629628213;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"74";"Chile";10;"ASRREA0";"ASBG01";"Girl";"Boy";398,22178;7,95345629628213;379,532884;6,20902438687886;-18,688896;9,80064131390628;-1,90690541582029;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"75";"Chile";10;"ASRREA0";"ASBG01";"Boy";"Girl";379,532884;6,20902438687886;398,22178;7,95345629628213;18,688896;9,80064131390628;1,90690541582029;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"76";"Chile";10;"ASRREA0";"ASBG01";"Boy";"Boy";379,532884;6,20902438687886;379,532884;6,20902438687886;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"77";"Chile";50;"ASRREA0";"ASBG01";"Girl";"Girl";505,825406;3,45183616716321;505,825406;3,45183616716321;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"78";"Chile";50;"ASRREA0";"ASBG01";"Girl";"Boy";505,825406;3,45183616716321;491,674034;3,3932912636268;-14,151372;4,5204111054631;-3,13054978183234;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"79";"Chile";50;"ASRREA0";"ASBG01";"Boy";"Girl";491,674034;3,3932912636268;505,825406;3,45183616716321;14,151372;4,5204111054631;3,13054978183234;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"80";"Chile";50;"ASRREA0";"ASBG01";"Boy";"Boy";491,674034;3,3932912636268;491,674034;3,3932912636268;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"81";"Chile";90;"ASRREA0";"ASBG01";"Girl";"Girl";595,845162;5,2695020811519;595,845162;5,2695020811519;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"82";"Chile";90;"ASRREA0";"ASBG01";"Girl";"Boy";595,845162;5,2695020811519;586,927382;4,00876921378542;-8,91778000000002;5,91156574003451;-1,50853096999441;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"83";"Chile";90;"ASRREA0";"ASBG01";"Boy";"Girl";586,927382;4,00876921378542;595,845162;5,2695020811519;8,91778000000002;5,91156574003451;1,50853096999441;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"84";"Chile";90;"ASRREA0";"ASBG01";"Boy";"Boy";586,927382;4,00876921378542;586,927382;4,00876921378542;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"85";"Chinese Taipei";10;"ASRREA0";"ASBG01";"Girl";"Girl";481,229048;4,02122024028327;481,229048;4,02122024028327;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"86";"Chinese Taipei";10;"ASRREA0";"ASBG01";"Girl";"Boy";481,229048;4,02122024028327;467,4737;5,55393470004194;-13,755348;6,32221377696403;-2,17571700123772;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"87";"Chinese Taipei";10;"ASRREA0";"ASBG01";"Boy";"Girl";467,4737;5,55393470004194;481,229048;4,02122024028327;13,755348;6,32221377696403;2,17571700123772;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"88";"Chinese Taipei";10;"ASRREA0";"ASBG01";"Boy";"Boy";467,4737;5,55393470004194;467,4737;5,55393470004194;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"89";"Chinese Taipei";50;"ASRREA0";"ASBG01";"Girl";"Girl";566,267626;2,3858302029893;566,267626;2,3858302029893;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"90";"Chinese Taipei";50;"ASRREA0";"ASBG01";"Girl";"Boy";566,267626;2,3858302029893;560,64501;2,62495317319188;-5,62261600000002;2,95619691103718;-1,90197614340492;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"91";"Chinese Taipei";50;"ASRREA0";"ASBG01";"Boy";"Girl";560,64501;2,62495317319188;566,267626;2,3858302029893;5,62261600000002;2,95619691103718;1,90197614340492;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"92";"Chinese Taipei";50;"ASRREA0";"ASBG01";"Boy";"Boy";560,64501;2,62495317319188;560,64501;2,62495317319188;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"93";"Chinese Taipei";90;"ASRREA0";"ASBG01";"Girl";"Girl";640,017666;4,24066129219912;640,017666;4,24066129219912;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"94";"Chinese Taipei";90;"ASRREA0";"ASBG01";"Girl";"Boy";640,017666;4,24066129219912;634,637958;3,77039819898303;-5,37970800000001;5,17875098209162;-1,03880414768026;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"95";"Chinese Taipei";90;"ASRREA0";"ASBG01";"Boy";"Girl";634,637958;3,77039819898303;640,017666;4,24066129219912;5,37970800000001;5,17875098209162;1,03880414768026;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"96";"Chinese Taipei";90;"ASRREA0";"ASBG01";"Boy";"Boy";634,637958;3,77039819898303;634,637958;3,77039819898303;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"97";"Czech Republic";10;"ASRREA0";"ASBG01";"Girl";"Girl";467,470838;3,90142263446347;467,470838;3,90142263446347;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"98";"Czech Republic";10;"ASRREA0";"ASBG01";"Girl";"Boy";467,470838;3,90142263446347;445,271456;6,47023801186445;-22,199382;6,46156350558313;-3,43560532691794;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"99";"Czech Republic";10;"ASRREA0";"ASBG01";"Boy";"Girl";445,271456;6,47023801186445;467,470838;3,90142263446347;22,199382;6,46156350558313;3,43560532691794;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"100";"Czech Republic";10;"ASRREA0";"ASBG01";"Boy";"Boy";445,271456;6,47023801186445;445,271456;6,47023801186445;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"101";"Czech Republic";50;"ASRREA0";"ASBG01";"Girl";"Girl";551,459836;2,46852938574691;551,459836;2,46852938574691;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"102";"Czech Republic";50;"ASRREA0";"ASBG01";"Girl";"Boy";551,459836;2,46852938574691;544,42009;2,99527146568558;-7,03974599999999;3,3904385257583;-2,07635264480293;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"103";"Czech Republic";50;"ASRREA0";"ASBG01";"Boy";"Girl";544,42009;2,99527146568558;551,459836;2,46852938574691;7,03974599999999;3,3904385257583;2,07635264480293;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"104";"Czech Republic";50;"ASRREA0";"ASBG01";"Boy";"Boy";544,42009;2,99527146568558;544,42009;2,99527146568558;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"105";"Czech Republic";90;"ASRREA0";"ASBG01";"Girl";"Girl";627,368666;3,37441217085219;627,368666;3,37441217085219;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"106";"Czech Republic";90;"ASRREA0";"ASBG01";"Girl";"Boy";627,368666;3,37441217085219;622,491668;3,34919913481477;-4,87699799999998;4,39760032228527;-1,10901347157115;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"107";"Czech Republic";90;"ASRREA0";"ASBG01";"Boy";"Girl";622,491668;3,34919913481477;627,368666;3,37441217085219;4,87699799999998;4,39760032228527;1,10901347157115;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"108";"Czech Republic";90;"ASRREA0";"ASBG01";"Boy";"Boy";622,491668;3,34919913481477;622,491668;3,34919913481477;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
