IDCNTRY;ASBG01;dvar;n;TOTWGT;p10;p10_se;p50;p50_se;p90;p90_se;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
New Zealand;Boy;ASRREA0;2833;27980,5502970003;386,451146;6,79846226298756;524,272394;2,92295650186854;619,49302;3,33430985160351;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;Girl;ASRREA0;2109;28281,6433609999;488,804144;4,93057335283492;571,747186;2,57703169351603;648,674252;3,56294649090664;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;Boy;ASRREA0;2085;27973,5827729999;463,473228;4,75012841149205;552,45083;3,52024623014643;628,131578;4,1773345874581;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;Girl;ASRREA0;2216;160959,494589;484,845918;5,14694152818489;578,36175;3,42663240048881;657,001788;4,16629976278039;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Poland;Boy;ASRREA0;2197;163441,147839;457,72536;5,96418750662988;560,02707;3,12693270442936;646,338134;4,5200729001606;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;Girl;ASRREA0;2290;46041,286039;443,51723;5,01111880142847;530,00266;3,31072450740918;611,621216;3,22287007539799;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Portugal;Boy;ASRREA0;2347;47151,8757450001;441,328728;5,06404628843809;529,381468;2,90709765605911;609,596006;4,60572596460607;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;Girl;ASRREA0;4684;9750,165823;321,919362;5,84105106834495;467,755376;3,6762940096211;584,71327;3,64476957227881;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Qatar;Boy;ASRREA0;4378;9608,889131;268,228594;8,55268936618337;432,155408;3,45883408225429;568,917286;3,8328429183018;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;Girl;ASRREA0;2272;645361,631311998;504,771426;3,83874075885384;591,386532;2,73849119558998;668,972292;3,20161001328294;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Russian Federation;Boy;ASRREA0;2304;667611,096754998;487,596784;5,92130096957299;576,807804;2,82223244947433;656,34741;3,4096531828648;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Saudi Arabia;Girl;ASRREA0;2362;207717,78427;347,67426;10,3659895719555;467,949638;5,9678839154707;575,37718;9,54369754250994;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Saudi Arabia;Boy;ASRREA0;2360;222039,290978001;273,383348;7,7700164543406;401,51994;6,88301411057758;521,62236;7,57714512697627;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Singapore;Girl;ASRREA0;3230;19297,508085;482,074068;5,2867198476895;591,314766;4,085843811203;678,302846;4,74042217697077;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
