"";"S_SEX";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"55";"Boy";10;"PVCIL";"IDCNTRY";"France";"Russian Federation (Moscow)";375,876259407685;6,97265202985136;454,920616094892;6,24181904834129;79,044356687207;9,35832150343353;8,44642457071025;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"56";"Boy";10;"PVCIL";"IDCNTRY";"France";"Germany, North-Rhine Westphalia";375,876259407685;6,97265202985136;412,499560197375;10,4861716906781;36,62330078969;12,5927627253026;2,9082816526117;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"57";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Chile";393,66165248209;11,0348106346754;356,748840334818;10,3271404461245;-36,9128121472724;15,113466694876;-2,44237889906404;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"58";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Denmark";393,66165248209;11,0348106346754;447,673843692806;5,42640167262488;54,012191210716;12,2968646758355;4,39235468833408;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"59";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Finland";393,66165248209;11,0348106346754;401,847594564067;8,11452624483247;8,18594208197741;13,6971742312501;0,597637289544087;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"60";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"France";393,66165248209;11,0348106346754;375,876259407685;6,97265202985136;-17,7853930744048;13,0531575518162;-1,36253569328367;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"61";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Germany";393,66165248209;11,0348106346754;393,66165248209;11,0348106346754;0;15,6055788577769;0;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"62";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Italy";393,66165248209;11,0348106346754;342,846392289225;9,1927311153872;-50,8152601928646;14,3622195743887;-3,53812026961908;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"63";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Kazakhstan";393,66165248209;11,0348106346754;250,202041602083;9,04714774072294;-143,459610880007;14,2694753927961;-10,0536009160107;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"64";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Korea, Republic of";393,66165248209;11,0348106346754;390,134575983595;8,14159736326727;-3,5270764984954;13,7132291371765;-0,25720247676264;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"65";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Luxembourg";393,66165248209;11,0348106346754;351,255707828535;3,47989038823997;-42,405944653555;11,5705091874693;-3,66500246155806;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"66";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Portugal";393,66165248209;11,0348106346754;416,159710799135;7,76790772448596;22,4980583170448;13,4947188247579;1,6671750341155;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"67";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"United States";393,66165248209;11,0348106346754;394,700167073393;3,76231360168784;1,0385145913032;11,6585612054229;0,0890774232775951;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"68";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Uruguay";393,66165248209;11,0348106346754;308,572178881003;8,08243034897675;-85,0894736010866;13,6781843125908;-6,22081642245172;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"69";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Russian Federation (Moscow)";393,66165248209;11,0348106346754;454,920616094892;6,24181904834129;61,2589636128022;12,6778291034144;4,83197581487384;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"70";"Boy";10;"PVCIL";"IDCNTRY";"Germany";"Germany, North-Rhine Westphalia";393,66165248209;11,0348106346754;412,499560197375;10,4861716906781;18,8379077152852;15,222576735544;1,23749796388279;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"71";"Boy";10;"PVCIL";"IDCNTRY";"Italy";"Chile";342,846392289225;9,1927311153872;356,748840334818;10,3271404461245;13,9024480455922;13,8259225787572;1,00553492661333;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"72";"Boy";10;"PVCIL";"IDCNTRY";"Italy";"Denmark";342,846392289225;9,1927311153872;447,673843692806;5,42640167262488;104,827451403581;10,6748367890321;9,82005191042223;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"73";"Boy";10;"PVCIL";"IDCNTRY";"Italy";"Finland";342,846392289225;9,1927311153872;401,847594564067;8,11452624483247;59,001202274842;12,2618041714049;4,81178800852451;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"74";"Boy";10;"PVCIL";"IDCNTRY";"Italy";"France";342,846392289225;9,1927311153872;375,876259407685;6,97265202985136;33,0298671184598;11,5379452975475;2,86271656405588;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"75";"Boy";10;"PVCIL";"IDCNTRY";"Italy";"Germany";342,846392289225;9,1927311153872;393,66165248209;11,0348106346754;50,8152601928646;14,3622195743887;3,53812026961908;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
