IDCNTRY;Variable;ASDAGE;ASRREA0_;ASDAGE.se;ASRREA0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Morocco;ASRREA0_;-,283213043675625;1;,0237201069921135;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;ASDAGE;1;-,179938059192123;0;,0214199817745555;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Netherlands;ASRREA0_;-,179938059192123;1;,0214199817745555;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;ASDAGE;1;,040245654682209;0;,0194486852685545;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
New Zealand;ASRREA0_;,040245654682209;1;,0194486852685545;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;ASDAGE;1;,0793170517197308;0;,0192485856273268;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Northern Ireland;ASRREA0_;,0793170517197308;1;,0192485856273268;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;ASDAGE;1;,128318579560753;0;,0212545954235355;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway;ASRREA0_;,128318579560753;1;,0212545954235355;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Norway (4);ASDAGE;1;,0896055593022102;0;,0169773193855388;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
