"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"73";"Norway";"Girl";"BSMMAT0";2904;27417,054209;394,942662;4,44600800363136;504,8098;4,20470395020266;603,611062;5,31530464177875;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"74";"Norway";"Boy";"BSMMAT0";3224;30778,8018850001;389,94718;5,8619564805063;504,516828;3,1272311785146;609,72422;3,8547994368347;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"75";"Norway";"<Other>";"BSMMAT0";3;30,059592;452,932736;67,2966446820815;505,119792;81,6480164756859;615,944304;83,9908585851174;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"76";"Portugal";"Girl";"BSMMAT0";2617;49391,4595659998;362,693596;5,19999370355061;466,284918;3,92557917169608;579,648554;4,93942542992665;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"77";"Portugal";"Boy";"BSMMAT0";2752;51811,6787259996;377,547166;4,35373548353547;479,50109;3,25965735549305;593,187244;3,80095575058116;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"78";"Qatar";"Girl";"BSMMAT0";2073;11104,347318;321,781944;6,44968559204604;446,289514;8,21701109689016;574,512476;6,06996632279588;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"79";"Qatar";"Boy";"BSMMAT0";2215;12094,215009;321,97411;9,64271109620939;453,060264;7,48210400866871;595,309324;12,0919376634977;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"80";"Romania";"Girl";"BSMMAT0";1755;74970,9401409998;362,50775;11,1482418528331;501,655652;8,03007694083527;616,875948;6,73749505007486;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"81";"Romania";"Boy";"BSMMAT0";1866;80285,5451809999;364,964638;7,89107865356277;504,353946;6,67711443509142;622,609904;8,69307400452717;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"82";"Saudi Arabia";"Girl";"BSMMAT0";2883;201520,325532;298,067072;5,1584592966073;393,522138;4,68573209443134;507,677796;7,56735105261121;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
