"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"62";"Canada (Quebec)";"ASDAGE";-1,93685187108788;-0,0112264744755303;2,68523831170261;0,015544522045494;-0,721296081113858;-0,722214194986109;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"63";"Canada (Quebec)";"ASDGSLR_D2";-3,47401855673945;-0,0264319374419165;3,04397392620491;0,0230734706840324;-1,14127736996443;-1,14555533512382;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"64";"Canada (Quebec)";"ASDGSLR_D3";-3,9911308887149;-0,0224583428395057;3,50401359739347;0,0197829828775728;-1,13901695235538;-1,13523541816163;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"65";"Canada (Quebec)";"ASBG01_D2";-8,78872353495904;-0,0666476589054995;2,08622633949591;0,0159113893950345;-4,21273730878244;-4,18867625264067;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"66";"Canada (Quebec)";"ASRINF0_";0,759135260807232;0,804865931578002;0,0208684901370547;0,0111000503172765;36,3771051868908;72,5101155915733;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"67";"Chile";"(CONSTANT)";139,837325960023;NA;17,4212990279957;NA;8,02680246377187;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"68";"Chile";"ASDAGE";-4,32545761432374;-0,0288178844828972;1,81332164000145;0,0121623689561177;-2,38537803713647;-2,36943021436639;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"69";"Chile";"ASDGSLR_D2";0,901941751732263;0,00544796830532769;2,39734151682926;0,0144686759677748;0,376225809047505;0,37653537320634;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"70";"Chile";"ASDGSLR_D3";-1,20451051728998;-0,00632740268038979;3,46161136618261;0,0183197696646332;-0,347962376440395;-0,345386584887309;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"71";"Chile";"ASBG01_D2";-9,82436356817955;-0,0604499896163614;3,05075484493985;0,0185405734423357;-3,22030581528856;-3,260416394583;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"72";"Chile";"ASRINF0_";0,825044131485196;0,840892264985759;0,0145329672690268;0,00741456468536761;56,7705215467979;113,410874497492;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"73";"Chinese Taipei";"(CONSTANT)";80,7844892663429;NA;49,1433774174352;NA;1,64385301767399;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"74";"Chinese Taipei";"ASDAGE";2,16382695068236;0,0104340733648169;5,55723875091221;0,0262082757774437;0,389370881416094;0,398121320663035;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"75";"Chinese Taipei";"ASDGSLR_D2";-4,91997740031807;-0,0375604646329682;2,30293687358214;0,0172903616285723;-2,13639264573727;-2,1723353993302;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
