"";"IDCNTRY";"SGENDER";"xvar";"n";"TOTWGTS";"sumw_se";"tsumw";"tsumw_se";"pct";"pct_se";"tpct";"tpct_se";"mnx";"mnx_se";"sdx";"sdx_se";"vrx";"vrx_se";"DEff";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"date";"time";"selcrit"
"57";"Poland";"BOY";"HISCED";1568;212369,142906591;6002,40006095361;217935,034723894;5967,83446999075;49,5953463420864;1,12130139126286;49,7696675086099;1,08369908481738;3,65899786341871;0,0380098456414386;0,901920825526978;0,0137840918146214;0,813461175519265;0,0248727112569315;2,78484764309686;2,55392246792935;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"58";"Poland";"GIRL";"HISCED";1600;215834,627345892;5939,84314585994;219952,228007351;5884,09858827518;50,4046536579136;1,12130139126285;50,2303324913901;1,08369908481739;3,5932580530961;0,035840313306375;0,870332488807881;0,0165037260939128;0,75747864107452;0,0287141528830738;2,71327108276365;1,87204316990204;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"59";"Russian Federation";"BOY";"HISCED";2128;634518,89816887;16872,1193079365;638867,234314455;16982,9462861387;50,3941392628939;1,03767270341163;50,271924165832;1,03318874668326;4,19952166915372;0,0290225734707436;0,961539147885995;0,0221137167063654;0,924557532917326;0,0425201543222915;1,93869513641222;0,680632205257974;62;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"60";"Russian Federation";"GIRL";"HISCED";2122;624593,58484972;16953,2359341543;631955,883987171;16770,9062216918;49,6058607371061;1,03767270341162;49,728075834168;1,03318874668326;4,159288721845;0,0228086683084896;0,953464985215623;0,0193601862115318;0,909095478032228;0,037014979752457;1,21432725097668;1,16500207118915;62;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"61";"Slovak Republic";"BOY";"HISCED";1465;25312,0274486293;898,842122528441;25426,7763651636;896,299979828052;49,2588466656963;1,20766245157034;49,2916573012874;1,20561302542043;3,71282068795289;0,0325139053353542;0,908377386300566;0,0113337136893754;0,825149475942247;0,0206007298752116;1,87690923157961;0,451291641875415;71;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"62";"Slovak Republic";"GIRL";"HISCED";1488;26073,7218370041;1207,15008570822;26157,5641850972;1203,5023306514;50,7411533343037;1,20766245157035;50,7083426987125;1,20561302542044;3,56598826467612;0,0372157071245513;0,874019508001366;0,0176718569480419;0,76391010036695;0,0309383037191496;2,69782161264689;0,320528117602305;71;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"63";"Slovenia";"BOY";"HISCED";1502;8511,0343596086;225,939005055;8654,28491503522;228,839051248474;50,5942715815782;0,827163804585232;50,441523803587;0,819573643105001;3,94273601759342;0,0338882323116919;0,91421547309554;0,0146736776272842;0,835789931247302;0,0268347289814631;2,06381435562525;1,65525582798573;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"64";"Slovenia";"GIRL";"HISCED";1483;8311,09607839051;209,277038846472;8502,77986503354;208,428049414443;49,4057284184218;0,827163804585213;49,558476196413;0,819573643104999;3,90665759437819;0,0338660072369055;0,929214497978935;0,0115091543937488;0,863439583254245;0,0213981646177893;1,96986829496498;2,25436609774295;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"65";"Spain";"BOY";"HISCED";1587;211308,362007765;6256,70782475464;215694,961950828;6313,11393615531;49,0819228967471;1,16712853945107;49,2917841903521;1,14847482336422;3,35687954924994;0,0625858711043804;1,43025610425746;0,0229463797924495;2,04563252376573;0,0656225555188952;3,03879854294782;2,03370533246998;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
"66";"Spain";"GIRL";"HISCED";1642;219213,405552751;6347,46526355513;221893,097588405;6242,84066525748;50,9180771032529;1,16712853945107;50,7082158096479;1,14847482336422;3,32181321625072;0,0616413548088998;1,43693412151478;0,0215818507264331;2,06477966957344;0,0619894816097031;3,0216474262961;1,20765001921047;75;"TOTWGTS";75;"JRR";"HALF";"04-MAR-26";"12h59m";"NONE"
