S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Boy;PVCIL;IDCNTRY;Finland;Korea, Republic of;50,6209352275822;,809034366548872;53,0118436683693;,887449773185703;2,39090844078705;1,20087622433975;1,99096992040257;516,339077456485;3,64741233551298;523,8913858382;3,91769244172243;7,55230838171472;5,35274983659626;1,41092122969773;-3 to 18;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Luxembourg;50,6209352275822;,809034366548872;52,7094470116788;,65086182943231;2,08851178409655;1,03834374234601;2,0113876541287;516,339077456485;3,64741233551298;470,877994781358;1,29498523559314;-45,4610826751274;3,87047845952622;-11,7455976439389;-53 to -38;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Portugal;50,6209352275822;,809034366548872;51,4041265361389;1,03934868328128;,783191308556664;1,31711134369713;,594628018583642;516,339077456485;3,64741233551298;510,942841282463;3,24645421184343;-5,39623617402202;4,88293781394441;-1,10512080629243;-15 to 4;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;United States;50,6209352275822;,809034366548872;50,6373381485471;,414458803328756;,0164029209648163;,909017439829313;,0180446713628468;516,339077456485;3,64741233551298;507,974053078872;2,33338298643507;-8,36502437761287;4,32992989627279;-1,93190757772164;-17 to 0;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Uruguay;50,6209352275822;,809034366548872;49,2914976240555;1,02676132246567;-1,32943760352678;1,30720136917331;-1,01701056537872;516,339077456485;3,64741233551298;448,095357151735;4,85767996417317;-68,2437203047504;6,0745922809339;-11,2342881873643;-80 to -56;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Russian Federation (Moscow);50,6209352275822;,809034366548872;51,2292455377873;,746876009703025;,608310310205076;1,10107237733359;,552470775516309;516,339077456485;3,64741233551298;546,14077310732;2,67965169290687;29,8016956508352;4,52594188435412;6,58463948771805;21 to 39;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;Finland;Germany, North-Rhine Westphalia;50,6209352275822;,809034366548872;51,8597531850013;1,095269129023;1,23881795741904;1,36167215997388;,909776959413492;516,339077456485;3,64741233551298;512,661978148244;3,19696605175547;-3,67709930824159;4,85017614951552;-,758137270665703;-13 to 6;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Chile;50,2227167623303;,635399858970222;50,973053879782;1,66166351336527;,750337117451656;1,77900495008552;,421773484899851;486,822946020285;2,84974230418089;471,882589762081;4,65859442433786;-14,9403562582036;5,46109267552841;-2,73578149024141;-26 to -4;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Denmark;50,2227167623303;,635399858970222;50,542261844675;,915246704332115;,3195450823447;1,11418558174578;,28679700005094;486,822946020285;2,84974230418089;544,622343235348;2,81251539102684;57,7993972150629;4,0039073447073;14,4357479429355;50 to 66;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;PVCIL;IDCNTRY;France;Finland;50,2227167623303;,635399858970222;50,6209352275822;,809034366548872;,398218465251904;1,028722308029;,387100058143852;486,822946020285;2,84974230418089;516,339077456485;3,64741233551298;29,5161314362005;4,62867669485464;6,37679695127798;20 to 39;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
