SGENDER;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
BOY;10;PVCIV;IDCNTRY;Bulgaria;Finland;318,564082478314;6,59690782199578;445,796635340513;6,54643341668093;127,232552862199;9,29381424878644;13,6900253713175;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Greece;318,564082478314;6,59690782199578;332,443997336009;6,54643341668085;13,8799148576944;9,29381424878638;1,49345731323465;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Guatemala;318,564082478314;6,59690782199578;337,070635621907;5,98529245629928;18,5065531435925;8,90746420701998;2,07764552441395;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Hong Kong, SAR;318,564082478314;6,59690782199578;397,847838559387;19,3957043591601;79,2837560810725;20,4868870353661;3,86997575298807;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Indonesia;318,564082478314;6,59690782199578;339,594256505124;5,23224643849178;21,0301740268097;8,41995223294165;2,49765954069582;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Ireland;318,564082478314;6,59690782199578;384,388527182229;9,35783668805904;65,8244447039143;11,4493799086367;5,7491711541741;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Italy;318,564082478314;6,59690782199578;404,787795988234;7,56501867915528;86,2237135099197;10,0373652134351;8,59027361030048;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Korea, Republic of;318,564082478314;6,59690782199578;443,273014457296;5,27853178778607;124,708931978981;8,44879225964144;14,7605631842431;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Latvia;318,564082478314;6,59690782199578;361,255335752738;6,23855779203942;42,6912532744236;9,07958127539618;4,70189670421347;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
BOY;10;PVCIV;IDCNTRY;Bulgaria;Liechtenstein;318,564082478314;6,59690782199578;407,521718611719;14,2400835210206;88,957636133405;15,6939214824578;5,66828604519521;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
