BSBG01;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Norway;50,4901096678385;,953820867369347;48,1965862129458;,80802247863121;-2,29352345489266;1,25006982725068;-1,83471627335961;1,90528688300086;,0251352197904003;2,63638893687982;,0140649621519257;,731102053878965;,0288028199009547;25,383002650193;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Portugal;50,4901096678385;,953820867369347;49,2683940396391;,985122245805814;-1,22171562819933;1,37121846771793;-,890970809511188;1,90528688300086;,0251352197904003;2,51455486504733;,0196317077096625;,60926798204647;,0318933099804544;19,1033161004567;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Qatar;50,4901096678385;,953820867369347;48,9542247869695;2,10920600176831;-1,53588488086898;2,31484863542407;-,663492574575016;1,90528688300086;,0251352197904003;2,23624237782688;,0319070812985381;,330955494826025;,0406182361865117;8,14795338001227;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Romania;50,4901096678385;,953820867369347;48,577228541004;1,05339336092688;-1,91288112683447;1,42106010424403;-1,34609445520398;1,90528688300086;,0251352197904003;2,30854956737918;,0316345155470357;,403262684378324;,0404044780662661;9,98064332663687;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Saudi Arabia;50,4901096678385;,953820867369347;51,3886530489401;,72401113773739;,898543381101668;1,19748335044668;,7503598114884;1,90528688300086;,0251352197904003;2,08230128471905;,030240551059776;,177014401718189;,0393226423617571;4,50158969709378;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Singapore;50,4901096678385;,953820867369347;47,6029006947474;2,31261709250594;-2,88720897309109;2,50159390460959;-1,15414774866974;1,90528688300086;,0251352197904003;2,27372257182841;,0245949168190974;,36843568882755;,0351665922041083;10,4768664159761;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;South Africa;50,4901096678385;,953820867369347;49,6297371702417;,643488008564804;-,860372497596821;1,15058726926553;-,747768135958982;1,90528688300086;,0251352197904003;1,82354596860272;,0159478183112725;-,081740914398138;,0297676365000833;-2,74596588808484;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Sweden;50,4901096678385;,953820867369347;49,5672570720012;,729020723609803;-,922852595837284;1,20051883054027;-,768711470708022;1,90528688300086;,0251352197904003;2,66817047586508;,0161290879497944;,762883592864218;,0298651427588072;25,5442808033872;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;United Arab Emirates;50,4901096678385;,953820867369347;50,7606062414201;,397675567519727;,270496573581596;1,03340219858066;,261753433419352;1,90528688300086;,0251352197904003;2,14069600727527;,0142357718932651;,235409124274407;,0288866141198447;8,14941908033052;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Turkey;50,4901096678385;,953820867369347;51,5491106354137;1,70637954161168;1,05900096757518;1,95486710214789;,541725300104346;1,90528688300086;,0251352197904003;2,23673019567284;,0254812758648047;,331443312671986;,0357921037885455;9,26023557123395;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
