"";"IDCNTRY";"BSBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"69";"Israel";"Girl";"BSMMAT0";"Percentile";50;90;517,388356;5,28718495187615;631,076192;5,50014600451065;113,687836;5,34657040886553;21,2636937898519;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"70";"Israel";"Boy";"BSMMAT0";"Percentile";10;50;367,918354;7,63792263454963;520,900856;6,24495436857039;152,982502;7,74675166557726;19,7479548337374;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"71";"Israel";"Boy";"BSMMAT0";"Percentile";10;90;367,918354;7,63792263454963;642,438526;4,96559151441363;274,520172;8,61783872074517;31,8548746264147;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"72";"Israel";"Boy";"BSMMAT0";"Percentile";50;90;520,900856;6,24495436857039;642,438526;4,96559151441363;121,53767;6,63840537722359;18,3082627669887;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"73";"Italy";"Girl";"BSMMAT0";"Percentile";10;50;393,991462;6,05738667108301;493,811364;3,18845383390071;99,819902;5,8761476883886;16,9873031267145;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"74";"Italy";"Girl";"BSMMAT0";"Percentile";10;90;393,991462;6,05738667108301;583,647468;5,60165589350627;189,656006;7,28327172441178;26,0399464933209;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"75";"Italy";"Girl";"BSMMAT0";"Percentile";50;90;493,811364;3,18845383390071;583,647468;5,60165589350627;89,836104;5,67396385995061;15,8330412772108;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"76";"Italy";"Boy";"BSMMAT0";"Percentile";10;50;398,67957;5,46432544271476;501,668452;3,61925649979443;102,988882;5,69176760707638;18,0943582222081;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"77";"Italy";"Boy";"BSMMAT0";"Percentile";10;90;398,67957;5,46432544271476;592,51291;5,52294610393858;193,83334;7,53665351171793;25,7187543116623;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"78";"Italy";"Boy";"BSMMAT0";"Percentile";50;90;501,668452;3,61925649979443;592,51291;5,52294610393858;90,844458;5,94209158644789;15,2882964993654;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"79";"Japan";"Girl";"BSMMAT0";"Percentile";10;50;472,43579;5,57115816690749;589,433702;3,1636221505173;116,997912;5,45717149492335;21,4392954498204;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"80";"Japan";"Girl";"BSMMAT0";"Percentile";10;90;472,43579;5,57115816690749;698,55375;6,13004160225032;226,11796;7,49703848391078;30,160970960102;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"81";"Japan";"Girl";"BSMMAT0";"Percentile";50;90;589,433702;3,1636221505173;698,55375;6,13004160225032;109,120048;5,55944764611945;19,6278578279565;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"82";"Japan";"Boy";"BSMMAT0";"Percentile";10;50;467,404394;6,49809715975192;587,610692;3,52078877508206;120,206298;6,87868180077724;17,4751938643851;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
