IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Italy;RHOMELIT;1650,00394464483;930,945980286722;531775,082817476;3316;9818,93829636907;30,8924681368265;8,32550906996571; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;RHISCED;1637,48094015412;904,273307162132;531775,082817476;3316;9818,93829636907;33,24160198375;11,1869226635264; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Korea, Republic of;RHOMELIT;2590,20407399213;1474,80323976314;653185,739234814;5233;2757,01420574513;32,1302148930249;10,3976602199103; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Korea, Republic of;RHISCED;2589,80789851924;1391,263260411;653185,739234814;5233;2757,01420574513;30,9112588574104;6,56450290531167; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Latvia;RHOMELIT;1306,64032080891;757,905466958334;20306,774941011;2696;715,505085442217;22,8192565567097;9,32569619890586; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Latvia;RHISCED;1280,64446194104;734,43877529829;20306,774941011;2696;715,505085442217;25,2175839659427;6,8437587866471; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Liechtenstein;RHOMELIT;168,371917398406;94,1303504832298;343,55;336;5,31195435463006;4,66304455778135;2,01285380770804; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Liechtenstein;RHISCED;168,240973147391;91,697189690362;343,55;336;5,31195435463006;4,68327900485283;2,77343907601629; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Lithuania;RHOMELIT;1847,75319119429;1056,74878220707;37171,3985619791;3854;586,028555277665;33,4892758309211;9,61319506414905; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Lithuania;RHISCED;1922,83256300134;1057,31082125782;37171,3985619791;3854;586,028555277665;39,6767938703135;9,97949094210154; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Luxembourg;RHOMELIT;2125,01190628064;1293,56324599148;5362,94255108046;4506;87,5322050436116;21,2448260957225;10,3061606360898; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Luxembourg;RHISCED;2154,55967987258;1272,44652632523;5362,94255108046;4506;87,5322050436116;20,1496965357135;9,44032128414539; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Malta;RHOMELIT;1024,89902923557;588,291694133106;4763,11300791791;2101;90,9115377946143;17,0832054815938;7,19790180305017; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Malta;RHISCED;1019,21856217904;581,128078192255;4763,11300791791;2101;90,9115377946143;16,5681209639269;5,78571400587726; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Mexico;RHOMELIT;3211,62819458017;1829,15140490397;1993396,86347502;6515;46930,6740482226;43,8727497316827;13,6449551184837; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Mexico;RHISCED;3144,44903229696;1857,19801140791;1993396,86347502;6515;46930,6740482226;56,7371731772658;20,3542594413049; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
