"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"44";"New Zealand";"BOY";"ASRREA0";1273;29496,73819;385,8406872;6,58991879137578;527,53732;6,74946657793243;629,6120048;6,0266292798175;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"45";"Norway";"GIRL";"ASRREA0";1636;27498,3182460001;408,1630038;5,79014801016305;516,8945166;2,90872736749753;604,8686054;5,65265801021691;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"46";"Norway";"BOY";"ASRREA0";1765;29663,1576630001;376,079008;4,43731565228342;498,0434586;4,1402815273857;589,5659004;3,45208175000145;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"47";"Romania";"GIRL";"ASRREA0";1817;143398,762338;404,1499444;10,7419496119346;525,2321252;5,78769429585677;624,5194966;5,01856463430545;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"48";"Romania";"BOY";"ASRREA0";1802;139567,466727;380,364071;12,6444057180052;513,8910952;5,49227229704518;615,3230644;4,89000336387481;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"49";"Russian Federation";"GIRL";"ASRREA0";2017;897163,552464004;451,066983;4,93286452066669;538,6018474;3,13090921100533;612,100309;3,39958626193155;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"50";"Russian Federation";"BOY";"ASRREA0";2075;926435,740239001;435,1742478;7,61748584951786;526,508752;3,27037319872797;603,0214752;7,19776175311505;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"51";"Singapore";"GIRL";"ASRREA0";3478;23866,7781420002;426,9903216;12,4914398625173;550,4890548;4,2851449416454;642,5769358;7,06999752877542;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"52";"Singapore";"BOY";"ASRREA0";3521;25404,2359850001;381,1278744;12,2858342356612;529,897596;6,16259835246103;623,6818146;5,23182230092989;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"53";"Slovak Republic";"GIRL";"ASRREA0";1869;35125,905606;438,0820498;4,96783887809858;532,4913404;2,99465718069165;607,5889458;7,70776060221243;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"54";"Slovak Republic";"BOY";"ASRREA0";1907;35564,5741119999;416,4391392;7,84436211095189;516,4455694;3,1962527366703;596,37721;4,15204325673015;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"55";"Slovenia";"GIRL";"ASRREA0";1467;10541,36782;420,6693102;7,36824363744259;517,4093172;4,07614521801511;595,8375864;2,8139910644416;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"56";"Slovenia";"BOY";"ASRREA0";1483;10510,247963;393,3752198;6,06912565261551;495,2736998;3,91648077086906;581,3892398;3,22966008417219;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"57";"Sweden";"GIRL";"ASRREA0";2917;56871,0307569998;492,397577;3,91108034009031;574,692037;3,0829786743205;650,3516618;7,50587558271142;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"58";"Sweden";"BOY";"ASRREA0";3007;59453,5473589997;462,2698472;5,15329549724556;555,401102;2,5941716057218;630,5608816;3,13411626061978;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"59";"Turkey";"GIRL";"ASRREA0";2412;468165,227836002;350,0325098;5,13224060560928;459,9451036;6,79895858214471;564,4649812;4,73158850321956;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"60";"Turkey";"BOY";"ASRREA0";2675;503530,587260003;322,0378508;6,03791724107627;443,2026112;4,18881433523835;550,4815014;4,84581925343954;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"61";"North Macedonia";"GIRL";"ASRREA0";1806;13325,87588;308,19028;7,8656922450622;463,4253714;5,50556189333648;579,1355062;6,93590875316402;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"62";"North Macedonia";"BOY";"ASRREA0";1894;13950,0993590001;290,142885;13,6755713158108;440,1696988;7,58825590236768;558,2610138;7,21598857803991;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
