S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Boy;S_HISCED;IDCNTRY;Finland;Germany;50,1814578303344;,83762360737052;50,9592572899568;1,02274339808776;,777799459622337;1,32197479777661;,588361790958871;3,28204142263531;,0305710995556675;2,24245783712008;,046631434490857;-1,03958358551523;,0557591500178906;-18,6441792097202;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Italy;50,1814578303344;,83762360737052;52,2967850632455;,663377580808835;2,11532723291104;1,06849572874401;1,97972455668828;3,28204142263531;,0305710995556675;2,63774393536469;,0377251713309468;-,644297487270614;,0485569838436432;-13,2688943231173;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Kazakhstan;50,1814578303344;,83762360737052;51,6264179277943;,675688311911232;1,4449600974599;1,07618214186905;1,34267243549533;3,28204142263531;,0305710995556675;2,92054006672829;,0353076792519436;-,361501355907021;,0467035795437637;-7,74033509719046;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Korea, Republic of;50,1814578303344;,83762360737052;52,8533798813279;,894623957772262;2,67192205099347;1,22554695277028;2,18018742158654;3,28204142263531;,0305710995556675;3,52494785227606;,0344462429377208;,242906429640752;,0460557898701891;5,27417791173266;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Luxembourg;50,1814578303344;,83762360737052;52,15982393194;,716578984912026;1,97836610160557;1,10231517690811;1,79473724307661;3,28204142263531;,0305710995556675;2,75566953613543;,0259057673998659;-,526371886499874;,0400711980432142;-13,135915874844;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Portugal;50,1814578303344;,83762360737052;51,4143780841188;1,01166858133855;1,23292025378435;1,31342553123196;,938705868331873;3,28204142263531;,0305710995556675;2,36263908758706;,051395346441216;-,919402335048243;,0598002823058148;-15,374548406753;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;United States;50,1814578303344;,83762360737052;50,4878919532549;,442155665353748;,306434122920457;,947161517392265;,323528899024672;3,28204142263531;,0305710995556675;3,11175198586351;,0350802491278291;-,1702894367718;,0465318816180164;-3,65962928750053;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Uruguay;50,1814578303344;,83762360737052;49,2859383099661;1,01088003793917;-,895519520368318;1,31281825045522;-,682135185169613;3,28204142263531;,0305710995556675;2,051331893099;,073547169603311;-1,2307095295363;,0796478391715728;-15,4518884923567;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Russian Federation (Moscow);50,1814578303344;,83762360737052;50,8398703940305;,806981779670845;,658412563696061;1,16311345119259;,566077679714704;3,28204142263531;,0305710995556675;3,61623995083443;,0242905520159908;,334198528199124;,0390464216706741;8,55900525322976;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Finland;Germany, North-Rhine Westphalia;50,1814578303344;,83762360737052;51,7438819246505;1,18705673126685;1,56242409431608;1,4528306821066;1,07543440096582;3,28204142263531;,0305710995556675;2,3535750536094;,0503180858847393;-,928466369025905;,0588770065063309;-15,7695919701024;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Chile;50,0273947909281;,694410151289275;50,7935012390907;1,6409774354534;,766106448162617;1,78185644816882;,429948466920514;2,79625242994161;,030979747275773;2,69136775235732;,0503674170901528;-,104884677584294;,0591322369406416;-1,77373092936733;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Denmark;50,0273947909281;,694410151289275;50,0583220035144;,938507742644435;,0309272125863203;1,16747686967115;,0264906426754576;2,79625242994161;,030979747275773;2,92969198044394;,0410860866861539;,133439550502326;,0514568873956919;2,5932301243992;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Finland;50,0273947909281;,694410151289275;50,1814578303344;,83762360737052;,154063039406388;1,08803435875803;,141597586662841;2,79625242994161;,030979747275773;3,28204142263531;,0305710995556675;,485788992693693;,0435239803937244;11,1614100617447;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;France;50,0273947909281;,694410151289275;50,0273947909281;,694410151289275;0; ; ;2,79625242994161;,030979747275773;2,79625242994161;,030979747275773;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Germany;50,0273947909281;,694410151289275;50,9592572899568;1,02274339808776;,931862499028725;1,23620771577664;,753807379727677;2,79625242994161;,030979747275773;2,24245783712008;,046631434490857;-,553794592821535;,0559842426397451;-9,89197257494696;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Italy;50,0273947909281;,694410151289275;52,2967850632455;,663377580808835;2,26939027231743;,960351640251307;2,36308262223988;2,79625242994161;,030979747275773;2,63774393536469;,0377251713309468;-,158508494576921;,0488152977376975;-3,24710699151412;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Kazakhstan;50,0273947909281;,694410151289275;51,6264179277943;,675688311911232;1,59902313686629;,968896358269058;1,65035519353479;2,79625242994161;,030979747275773;2,92054006672829;,0353076792519436;,124287636786672;,0469720869818331;2,6459892411155;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Korea, Republic of;50,0273947909281;,694410151289275;52,8533798813279;,894623957772262;2,82598509039985;1,13250054482711;2,495349872729;2,79625242994161;,030979747275773;3,52494785227606;,0344462429377208;,728695422334445;,0463280519102114;15,7290322447992;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Luxembourg;50,0273947909281;,694410151289275;52,15982393194;,716578984912026;2,13242914101195;,997843123858226;2,13703846829828;2,79625242994161;,030979747275773;2,75566953613543;,0259057673998659;-,0405828938061812;,0403838275284392;-1,00492935637668;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Portugal;50,0273947909281;,694410151289275;51,4143780841188;1,01166858133855;1,38698329319074;1,2270610321745;1,13032950833166;2,79625242994161;,030979747275773;2,36263908758706;,051395346441216;-,43361334235455;,0600102189388056;-7,22565839655943;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;United States;50,0273947909281;,694410151289275;50,4878919532549;,442155665353748;,460497162326845;,82322967063755;,559378723522214;2,79625242994161;,030979747275773;3,11175198586351;,0350802491278291;,315499555921892;,0468013741266357;6,74124556830768;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Uruguay;50,0273947909281;,694410151289275;49,2859383099661;1,01088003793917;-,741456480961929;1,22641098711545;-,604574232252969;2,79625242994161;,030979747275773;2,051331893099;,073547169603311;-,744920536842611;,0798055818720029;-9,33419090957021;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Russian Federation (Moscow);50,0273947909281;,694410151289275;50,8398703940305;,806981779670845;,812475603102449;1,06462437081551;,76315705837176;2,79625242994161;,030979747275773;3,61623995083443;,0242905520159908;,819987520892817;,0393671901272154;20,8292112859216;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;France;Germany, North-Rhine Westphalia;50,0273947909281;,694410151289275;51,7438819246505;1,18705673126685;1,71648713372247;1,37524875621086;1,24812847564523;2,79625242994161;,030979747275773;2,3535750536094;,0503180858847393;-,442677376332212;,0590902234584941;-7,49155021630872;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Germany;Chile;50,9592572899568;1,02274339808776;50,7935012390907;1,6409774354534;-,165756050866108;1,93360052803037;-,085724040960494;2,24245783712008;,046631434490857;2,69136775235732;,0503674170901528;,448909915237241;,0686394011265287;6,54011992921862;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Germany;Denmark;50,9592572899568;1,02274339808776;50,0583220035144;,938507742644435;-,900935286442405;1,38809251901149;-,649045560078369;2,24245783712008;,046631434490857;2,92969198044394;,0410860866861539;,68723414332386;,0621494746708067;11,0577627077944;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Germany;Finland;50,9592572899568;1,02274339808776;50,1814578303344;,83762360737052;-,777799459622337;1,32197479777661;-,588361790958871;2,24245783712008;,046631434490857;3,28204142263531;,0305710995556675;1,03958358551523;,0557591500178906;18,6441792097202;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Germany;France;50,9592572899568;1,02274339808776;50,0273947909281;,694410151289275;-,931862499028725;1,23620771577664;-,753807379727677;2,24245783712008;,046631434490857;2,79625242994161;,030979747275773;,553794592821535;,0559842426397451;9,89197257494696;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Germany;Germany;50,9592572899568;1,02274339808776;50,9592572899568;1,02274339808776;0; ; ;2,24245783712008;,046631434490857;2,24245783712008;,046631434490857;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Germany;Italy;50,9592572899568;1,02274339808776;52,2967850632455;,663377580808835;1,33752777328871;1,21904629651703;1,09719194185668;2,24245783712008;,046631434490857;2,63774393536469;,0377251713309468;,395286098244614;,0599806571706611;6,59022619775436;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Germany;Kazakhstan;50,9592572899568;1,02274339808776;51,6264179277943;,675688311911232;,667160637837561;1,22578903290311;,544270359686188;2,24245783712008;,046631434490857;2,92054006672829;,0353076792519436;,678082229608207;,0584903658462932;11,5930584429945;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
