"";"IDCNTRY";"SGENDER";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"44";"Denmark";"BOY";"PVCIV";"Percentile";10;90;438,015470950593;8,18557482826231;703,836870649468;7,5415975124828;265,821399698874;10,0769431485781;26,3791703276984;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"45";"Denmark";"BOY";"PVCIV";"Percentile";50;90;575,34250734566;5,43946172806642;703,836870649468;7,5415975124828;128,494363303807;8,7370186392496;14,7068889983327;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"46";"Denmark";"GIRL";"PVCIV";"Percentile";10;50;455,891118873382;6,09512349720852;583,12367173558;6,16725764707628;127,232552862199;8,33283328027579;15,2688225700332;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"47";"Denmark";"GIRL";"PVCIV";"Percentile";10;90;455,891118873382;6,09512349720852;702,785361948127;8,38837730064787;246,894243074746;9,18130288441453;26,890981180226;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"48";"Denmark";"GIRL";"PVCIV";"Percentile";50;90;583,12367173558;6,16725764707628;702,785361948127;8,38837730064787;119,661690212547;8,96191434231427;13,3522465894989;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"49";"Dominican Republic";"BOY";"PVCIV";"Percentile";10;50;292,696968425338;6,00741930609048;362,727447934615;5,92588361648066;70,0304795092762;7,14407114617418;9,80260107666751;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"50";"Dominican Republic";"BOY";"PVCIV";"Percentile";10;90;292,696968425338;6,00741930609048;447,689351002926;6,13490223946408;154,992382577587;7,66664505403509;20,2164547184837;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"51";"Dominican Republic";"BOY";"PVCIV";"Percentile";50;90;362,727447934615;5,92588361648066;447,689351002926;6,13490223946408;84,9619030683112;6,88236342537472;12,3448730933132;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"52";"Dominican Republic";"GIRL";"PVCIV";"Percentile";10;50;308,469598945446;4,98108894915982;388,384260247322;4,80022647809981;79,9146613018768;5,2364711032402;15,2611672491475;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"53";"Dominican Republic";"GIRL";"PVCIV";"Percentile";10;90;308,469598945446;4,98108894915982;482,809741627698;5,92588361648062;174,340142682252;7,81519296796118;22,3078487501165;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
