"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"51";"Norway";"Girl";"BSMMAT0";2340;29574,1273369998;682,773505554191;49,9857150960479;0,700508355706364;511,072422412801;2,51688798085897;"506 to 516";6,28409366850604;0,0506314396863085;68,9906876451327;1,69569443327806;4760,25471446457;234,257773737035;1,02488891371841;3,03834190775699;3,08907402362777;1,00805707908844;3,11396293734618;0;72;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"52";"Norway";"Boy";"BSMMAT0";2328;29591,0307089998;617,011839874393;50,0142849039521;0,70050835570636;512,619892782767;2,61769856332933;"507 to 518";5,76089166733096;1,09145410112547;70,8657527059396;1,43449744385031;5022,45583887246;203,648453265913;1,50590890770092;2,10914975205833;2,67027849159891;1,18945923029848;3,17618739929983;0;73;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"53";"Qatar";"Girl";"BSMMAT0";2670;7869,453413;506,621650735471;50,4270778933828;3,03855775944273;440,396403823863;3,2267862760621;"434 to 447";8,58675308562911;1,82539658575361;96,2529747438728;2,7614833569922;9266,15588279043;532,36399281304;1,52597959127949;1,96608973792914;2,47423322342442;1,21258286660282;3,00021281470391;0;71;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"54";"Qatar";"Boy";"BSMMAT0";2719;7736,157187;449,606615557734;49,5729221066172;3,03855775944273;434,07357261967;4,39616012109627;"425 to 443";17,786046431509;1,54017737880812;107,861601044006;3,05694793055572;11635,7736528204;659,924451854121;1,3599023509678;3,32088031005531;4,1561705899591;1,08659470134294;4,5160729409269;0;67;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"55";"Russian Federation";"Girl";"BSMMAT0";2294;612120,759080002;24659,5599178989;48,6938339001962;0,941995379329931;533,156119950564;5,12026342327343;"523 to 543";25,8806312618483;0,336466261863426;82,3794344556867;2,1067813043635;6786,98938538377;346,653620542706;1,11372547692161;7,95651157170169;8,74764416790419;1,0130006976437;8,8613696448258;0;59;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"56";"Russian Federation";"Boy";"BSMMAT0";2484;644959,881427;18404,4520297804;51,3061660998038;0,941995379329932;542,588096730148;4,6202604423497;"534 to 552";20,1016477151921;1,24515883994937;80,8284939110979;1,91974631138271;6534,12867699929;309,53836485831;1,47335684853005;5,50793589579531;7,64179822480447;1,06194312315046;8,11515507333453;0;59;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"57";"Saudi Arabia";"Girl";"BSMMAT0";1998;188431,888283;8388,99506235385;51,125166415956;1,55569948714157;374,726507428807;5,06914534489272;"365 to 385";21,0041065013801;4,69212802626748;78,536256779849;2,28359618477079;6169,22260569984;358,360680416614;2,51961963373162;3,30293134214574;6,8025110248063;1,22339098432772;8,32213065853792;0;37;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"58";"Saudi Arabia";"Boy";"BSMMAT0";1761;180137,84262;7837,39624586931;48,874833584044;1,55569948714157;360,384234522798;7,13620627985975;"346 to 374";44,6113647245436;6,31407534416609;92,8139081182472;4,77770896657783;8616,93390242442;886,298847974147;2,29037622975709;4,54396060145828;9,11700312077569;1,14153513086078;10,4073793505328;0;35;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"59";"Singapore";"Girl";"BSMMAT0";2977;23081,114875;283,677848495872;48,5152056206764;0,595231544086506;625,739942787154;3,41427766136084;"619 to 632";9,75120889449044;1,90608305437717;76,9439897266624;2,42191164504143;5920,47139378375;372,705524054685;1,95843875858242;2,99302417931847;4,90321579956921;1,1954714615389;5,86165455815163;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
"60";"Singapore";"Boy";"BSMMAT0";3136;24493,8970820001;282,862250762016;51,4847943793236;0,595231544086502;616,550192574784;3,79291085220866;"609 to 624";13,9482016510621;0,437971081740182;86,3923434281905;2,38772641115416;7463,76873491069;412,655456690595;1,18401927513013;5,10510145908154;5,86051925391738;1,03139982434272;6,04453852904751;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 5m";"NONE"
