IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Chile;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Girl;103,92437;5,60227437788261;101,948402;6,62903375637004;-1,97596799999999;7,80111421609209;-,253293048308916;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Boy;103,92437;5,60227437788261;103,92437;5,60227437788261;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Girl;202,402438;6,95820375402329;202,402438;6,95820375402329;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Boy;202,402438;6,95820375402329;209,870244;7,96827285933945;7,467806;10,0821767182363;,740693821255135;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Girl;209,870244;7,96827285933945;202,402438;6,95820375402329;-7,467806;10,0821767182363;-,740693821255135;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Boy;209,870244;7,96827285933945;209,870244;7,96827285933945;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Girl;100,454036;5,77886386879857;100,454036;5,77886386879857;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Boy;100,454036;5,77886386879857;105,945874;6,05548321587184;5,49183800000001;8,20060202373609;,669687174685987;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Girl;105,945874;6,05548321587184;100,454036;5,77886386879857;-5,49183800000001;8,20060202373609;-,669687174685987;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Boy;105,945874;6,05548321587184;105,945874;6,05548321587184;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
