"";"BSBG01";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"3767";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Chinese Taipei";446,289514;8,21701109689016;613,00782;4,11354708064471;166,718306;9,18915344039355;18,1429450581532;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3768";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Cyprus";446,289514;8,21701109689016;495,819756;3,36788633154478;49,530242;8,88042395995947;5,57746366877579;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3769";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Czech Republic";446,289514;8,21701109689016;508,654642;2,78101391378829;62,365128;8,67486655546355;7,18917433498981;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3770";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Finland";446,289514;8,21701109689016;503,934306;3,523729481956;57,644792;8,94069017629075;6,44746556064146;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3771";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"France";446,289514;8,21701109689016;474,856938;4,50646852659642;28,567424;9,3716343263926;3,04828624389961;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3772";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Georgia";446,289514;8,21701109689016;463,940998;6,0342216552306;17,651484;10,1946604823736;1,73144402704917;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3773";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Palestinian National Authority";446,289514;8,21701109689016;389,988818;4,2741908632388;-56,300696;9,26218002965879;-6,07855772827966;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3774";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Hong Kong, SAR";446,289514;8,21701109689016;579,277476;5,14333791795325;132,987962;9,69397732123774;13,7186169920831;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3775";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Hungary";446,289514;8,21701109689016;504,159094;5,03130822012387;57,86958;9,63500564464298;6,00618018653422;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
"3776";"Girl";50;"BSMMAT0";"IDCNTRY";"Qatar";"Iran, Islamic Republic of";446,289514;8,21701109689016;420,857424;5,59325646316847;-25,43209;9,94000951856646;-2,5585579120922;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h28m";250;5;"NONE"
