"";"IDCNTRY";"ASBGSEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"79";"Netherlands";"GIRL";"ASMMAT0";"Percentile";10;50;467,196134033185;7,02606647319368;539,656267465816;3,73507392800008;72,4601334326314;6,58422729631433;11,0051081427873;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"80";"Netherlands";"GIRL";"ASMMAT0";"Percentile";10;90;467,196134033185;7,02606647319368;606,784152193282;4,3220946970674;139,588018160097;7,07451816155745;19,7310989911103;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"81";"Netherlands";"GIRL";"ASMMAT0";"Percentile";50;90;539,656267465816;3,73507392800008;606,784152193282;4,3220946970674;67,127884727466;4,0066075362854;16,7542950287817;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"82";"Netherlands";"BOY";"ASMMAT0";"Percentile";10;50;474,520087809015;5,17099126071644;544,624382471427;4,1533571452197;70,1042946624121;4,16904909595354;16,8154159495159;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"83";"Netherlands";"BOY";"ASMMAT0";"Percentile";10;90;474,520087809015;5,17099126071644;612,619180258854;2,10805957013238;138,099092449839;5,17018117289024;26,7106872722292;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"84";"Netherlands";"BOY";"ASMMAT0";"Percentile";50;90;544,624382471427;4,1533571452197;612,619180258854;2,10805957013238;67,9947977874265;4,11821713298462;16,5107364647741;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"85";"New Zealand";"GIRL";"ASMMAT0";"Percentile";10;50;382,275534001954;4,91558042710492;499,737648067757;3,4303601270032;117,462114065803;5,12083875160349;22,938061470696;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"86";"New Zealand";"GIRL";"ASMMAT0";"Percentile";10;90;382,275534001954;4,91558042710492;594,845929749271;4,53752310515832;212,570395747317;7,08923168783596;29,984969473075;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"87";"New Zealand";"GIRL";"ASMMAT0";"Percentile";50;90;499,737648067757;3,4303601270032;594,845929749271;4,53752310515832;95,1082816815142;4,7917022518211;19,8485374681551;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"88";"New Zealand";"BOY";"ASMMAT0";"Percentile";10;50;377,520107833444;6,35100654164605;500,388578087382;4,63447614783749;122,868470253939;7,66803134825627;16,0234699981866;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"89";"New Zealand";"BOY";"ASMMAT0";"Percentile";10;90;377,520107833444;6,35100654164605;600,203988833356;4,64558517365419;222,683880999912;8,06388901882418;27,6149486283955;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"90";"New Zealand";"BOY";"ASMMAT0";"Percentile";50;90;500,388578087382;4,63447614783749;600,203988833356;4,64558517365419;99,8154107459738;5,83237561470568;17,114023056797;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"91";"Norway";"GIRL";"ASMMAT0";"Percentile";10;50;346,030097615575;4,45614455586166;454,296327001179;3,17719540239175;108,266229385604;4,85588350679268;22,2958868832325;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"92";"Norway";"GIRL";"ASMMAT0";"Percentile";10;90;346,030097615575;4,45614455586166;547,55587966727;3,95567629466071;201,525782051695;6,15840716099715;32,7236859764669;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"93";"Norway";"GIRL";"ASMMAT0";"Percentile";50;90;454,296327001179;3,17719540239175;547,55587966727;3,95567629466071;93,2595526660915;4,08255623519557;22,8434214480879;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"94";"Norway";"BOY";"ASMMAT0";"Percentile";10;50;344,334121375018;9,3532324163467;459,685369094453;3,62745048415975;115,351247719435;8,64297313471968;13,346246242055;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"95";"Norway";"BOY";"ASMMAT0";"Percentile";10;90;344,334121375018;9,3532324163467;553,622689303126;4,54231584492652;209,288567928108;8,99398568066918;23,2698355722239;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"96";"Norway";"BOY";"ASMMAT0";"Percentile";50;90;459,685369094453;3,62745048415975;553,622689303126;4,54231584492652;93,9373202086728;4,80366929851323;19,5553262248397;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"97";"Philippines";"GIRL";"ASMMAT0";"Percentile";10;50;224,362894140682;8,11045523742268;359,678327970091;8,23018236610164;135,315433829408;8,50225980492314;15,9152315894952;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"98";"Philippines";"GIRL";"ASMMAT0";"Percentile";10;90;224,362894140682;8,11045523742268;512,000107561617;18,0562329510977;287,637213420934;18,4440544153457;15,5951184562552;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"99";"Philippines";"GIRL";"ASMMAT0";"Percentile";50;90;359,678327970091;8,23018236610164;512,000107561617;18,0562329510977;152,321779591526;13,9412123979023;10,9260066659945;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"100";"Philippines";"BOY";"ASMMAT0";"Percentile";10;50;216,815289573745;7,41446187953595;344,830083998417;6,93373145522714;128,014794424672;5,75979055607295;22,2255988613504;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
