IDCNTRY;LL;CSR;NKR;LL.svr;LL.se;CSR.se;NKR.se;dvar;convar;catvar;contrast;refcats;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Singapore;43553,5137575272;,0448454682335921;,0724415655484394;3586322,02352469;1934,38850265284;,00733748759106361;,0110313901349753;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;20152,9656322833;,0689285163840538;,0963438952749477;140170,859787832;405,992832001957;,00909596131354983;,0126342289779188;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;234548,221866755;,0119750878616645;,0475799922857994;1856892464,06049;43453,9097133928;,00421740501238926;,0132026047376089;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;97699,5123837339;,129806650069814;,189235282604225;17964344,5716988;4350,16918886297;,0164302517100719;,0231505435063921;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;408018,344839661;,0291768796258569;,0618312883364888;1686341610,32288;41608,8780926276;,00782629278305308;,0148140979087248;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;1128248,38323372;,0472388275474422;,0745105721516428;3201161733,30692;57886,7179379533;,00771414340624518;,0118047991547137;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates;55614,3209541791;,0344200606656928;,0540423086924365;2028740,08683891;1450,06626266627;,004548032017248;,00711044887477026;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Abu Dhabi);16633,4483523583;,0292639949632748;,0520058001603105;1540347,08386476;1278,57817051351;,00850555633054937;,0151619608878383;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United Arab Emirates (Dubai);20111,0150036892;,055682605937395;,0763790317973528;89721,0320137801;302,489167702195;,00861009124891305;,011801733389659;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
United States;4508782,13279149;,0655389103695065;,0895354499689544;7106603570,46577;85749,7487665104;,00700036506077535;,00942854563114841;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Table Average; ;,0525610312570194;,0875596461581489; ; ;,00134147619119461;,00230623536060166;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
