"";"IDCNTRY";"ASBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"67";"France";"Girl";"ASRREA0";"Percentile";10;50;428,37538;6,73238579478253;519,540012;3,8855873931948;91,164632;6,51906150319997;13,9843184414276;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"68";"France";"Girl";"ASRREA0";"Percentile";10;90;428,37538;6,73238579478253;595,631898;5,44754370511279;167,256518;8,20533198666718;20,3838818797064;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"69";"France";"Girl";"ASRREA0";"Percentile";50;90;519,540012;3,8855873931948;595,631898;5,44754370511279;76,091886;4,65894194589254;16,3324391854861;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"70";"France";"Boy";"ASRREA0";"Percentile";10;50;414,53883;3,86646784507003;512,851864;3,61225423696147;98,313034;4,09571735045358;24,0038619825932;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"71";"France";"Boy";"ASRREA0";"Percentile";10;90;414,53883;3,86646784507003;595,24957;3,81524246540245;180,71074;5,13415977776801;35,1977242279283;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"72";"France";"Boy";"ASRREA0";"Percentile";50;90;512,851864;3,61225423696147;595,24957;3,81524246540245;82,397706;4,51168789395678;18,2631662332779;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"73";"Georgia";"Girl";"ASRREA0";"Percentile";10;50;399,175876;8,42446852376789;505,25238;2,77636393648418;106,076504;8,27849948281728;12,8134940661856;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"74";"Georgia";"Girl";"ASRREA0";"Percentile";10;90;399,175876;8,42446852376789;588,854262;3,05628317159157;189,678386;8,58625786853891;22,090925861312;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"75";"Georgia";"Girl";"ASRREA0";"Percentile";50;90;505,25238;2,77636393648418;588,854262;3,05628317159157;83,601882;3,27657459634659;25,5150247741091;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"76";"Georgia";"Boy";"ASRREA0";"Percentile";10;50;371,003548;8,82172392998408;484,850966;4,94328948877322;113,847418;7,79008179127751;14,614405990894;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"77";"Georgia";"Boy";"ASRREA0";"Percentile";10;90;371,003548;8,82172392998408;577,26492;5,65006301042739;206,261372;8,8558180722762;23,2910579594805;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"78";"Georgia";"Boy";"ASRREA0";"Percentile";50;90;484,850966;4,94328948877322;577,26492;5,65006301042739;92,413954;5,3171196290168;17,3804541646336;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"79";"Germany";"Girl";"ASRREA0";"Percentile";10;50;452,605146;6,19502268157238;552,394078;4,24452426628287;99,788932;5,71037860456593;17,4750115378007;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"80";"Germany";"Girl";"ASRREA0";"Percentile";10;90;452,605146;6,19502268157238;636,466158;3,77245236630413;183,861012;6,63730802365942;27,7011419907901;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"81";"Germany";"Girl";"ASRREA0";"Percentile";50;90;552,394078;4,24452426628287;636,466158;3,77245236630413;84,07208;4,35150806986382;19,3202169570218;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"82";"Germany";"Boy";"ASRREA0";"Percentile";10;50;435,039858;7,84525837259576;543,287572;3,31467572669093;108,247714;7,46473953176706;14,50120443444;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"83";"Germany";"Boy";"ASRREA0";"Percentile";10;90;435,039858;7,84525837259576;626,973664;3,82010615400223;191,933806;8,12064809978644;23,6352817708044;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"84";"Germany";"Boy";"ASRREA0";"Percentile";50;90;543,287572;3,31467572669093;626,973664;3,82010615400223;83,6860920000001;4,21428422823665;19,8577237480292;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"85";"Hong Kong, SAR";"Girl";"ASRREA0";"Percentile";10;50;496,098302;5,74418679891193;576,792014;4,61847981813996;80,693712;4,79174767232211;16,8401421606775;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"86";"Hong Kong, SAR";"Girl";"ASRREA0";"Percentile";10;90;496,098302;5,74418679891193;648,152128;3,5570012486452;152,053826;5,85865882510372;25,9536918839625;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"87";"Hong Kong, SAR";"Girl";"ASRREA0";"Percentile";50;90;576,792014;4,61847981813996;648,152128;3,5570012486452;71,360114;4,6634123368951;15,3021240338167;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"88";"Hong Kong, SAR";"Boy";"ASRREA0";"Percentile";10;50;481,177542;4,51120393678273;569,995332;2,84193502617387;88,81779;4,18466033655661;21,2246115232102;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"89";"Hong Kong, SAR";"Boy";"ASRREA0";"Percentile";10;90;481,177542;4,51120393678273;642,556536;5,2202051660213;161,378994;5,39689634558567;29,9021851942734;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"90";"Hong Kong, SAR";"Boy";"ASRREA0";"Percentile";50;90;569,995332;2,84193502617387;642,556536;5,2202051660213;72,561204;4,87358816744967;14,8886613942127;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"91";"Hungary";"Girl";"ASRREA0";"Percentile";10;50;462,786318;8,96904178004899;564,328638;3,8580769941713;101,54232;8,26506054468635;12,285732143279;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"92";"Hungary";"Girl";"ASRREA0";"Percentile";10;90;462,786318;8,96904178004899;652,9326;4,21028474745002;190,146282;9,62036774790001;19,7649702155623;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"93";"Hungary";"Girl";"ASRREA0";"Percentile";50;90;564,328638;3,8580769941713;652,9326;4,21028474745002;88,603962;4,28044711272594;20,699697874219;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"94";"Hungary";"Boy";"ASRREA0";"Percentile";10;50;443,702294;6,87933608388672;555,821766;3,68266436484181;112,119472;6,40552099498659;17,5035679514208;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"95";"Hungary";"Boy";"ASRREA0";"Percentile";10;90;443,702294;6,87933608388672;636,467184;4,00552233445109;192,76489;7,54478226711681;25,5494304772912;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"96";"Hungary";"Boy";"ASRREA0";"Percentile";50;90;555,821766;3,68266436484181;636,467184;4,00552233445109;80,645418;3,9304372843685;20,5181795727234;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"97";"Iran, Islamic Republic of";"Girl";"ASRREA0";"Percentile";10;50;330,494756;16,0399759784099;467,523634;4,0087047083885;137,028878;15,5627462445172;8,80492914599028;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"98";"Iran, Islamic Republic of";"Girl";"ASRREA0";"Percentile";10;90;330,494756;16,0399759784099;557,55951;3,92275896221907;227,064754;15,9145832516235;14,2677159941864;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"99";"Iran, Islamic Republic of";"Girl";"ASRREA0";"Percentile";50;90;467,523634;4,0087047083885;557,55951;3,92275896221907;90,035876;4,52125880815798;19,9138956251615;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"100";"Iran, Islamic Republic of";"Boy";"ASRREA0";"Percentile";10;50;260,04845;13,4583807668341;421,613202;7,60601573978019;161,564752;13,2934361826051;12,1537238213407;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"101";"Iran, Islamic Republic of";"Boy";"ASRREA0";"Percentile";10;90;260,04845;13,4583807668341;543,575508;6,59947555980888;283,527058;14,1382301856896;20,0539285523148;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"102";"Iran, Islamic Republic of";"Boy";"ASRREA0";"Percentile";50;90;421,613202;7,60601573978019;543,575508;6,59947555980888;121,962306;7,54305148532116;16,1688285221624;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"103";"Ireland";"Girl";"ASRREA0";"Percentile";10;50;477,706296;6,36693104340906;579,415612;3,07870883744043;101,709316;6,05033098806636;16,8105375062308;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"104";"Ireland";"Girl";"ASRREA0";"Percentile";10;90;477,706296;6,36693104340906;660,49317;4,35899554587413;182,786874;7,03626600463601;25,9778231635311;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"105";"Ireland";"Girl";"ASRREA0";"Percentile";50;90;579,415612;3,07870883744043;660,49317;4,35899554587413;81,077558;4,00281807636378;20,2551193817062;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"106";"Ireland";"Boy";"ASRREA0";"Percentile";10;50;468,105218;7,37199235319286;565,583514;4,37709943429736;97,478296;5,4143187930963;18,00379691796;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"107";"Ireland";"Boy";"ASRREA0";"Percentile";10;90;468,105218;7,37199235319286;650,16936;4,24810752226803;182,064142;7,88980206765317;23,075882061279;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
