IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Italy;BSDAGE;533445,847878998;13,8282643908271;,410187202154216;14479,7183680117;,0112727330510496;,011225849580534;4591;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Italy;BSMMAT0_;533445,847878998;500,56416863869;85,004120347113;14479,7183680117;3,00433548305523;1,39749308392217;4591;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Ivory Coast;BSDAGE;392649,143068997;15,0375947514969;1,46817044386157;11342,7848193556;,0562225324419699;,0206262710091502;8232;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Ivory Coast;BSMMAT0_;392649,143068997;263,367533403427;74,9516873886488;11342,7848193556;4,95651892056953;4,67453959746078;8232;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Japan;BSDAGE;1051028,349968;14,4631650300334;,288110508639446;18957,9563297797;,00545022454870402;,00253246907717623;3905;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Japan;BSMMAT0_;1051028,349968;594,615533552625;84,4259856870697;18957,9563297797;3,04509363465725;1,50547681864274;3905;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Jordan;BSDAGE;172066,297079003;13,9544143251524;,433808140196841;3697,93909655209;,0097084895456001;,0197521404939576;6962;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Jordan;BSMMAT0_;172066,297079003;388,225095787592;87,4464322165281;3697,93909655209;3,21415780306339;1,68037644113418;6962;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Kazakhstan;BSDAGE;310343,801138999;14,3566025192155;,458309179776365;6005,93471159897;,011108939692825;,00575236630352707;6362;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Kazakhstan;BSMMAT0_;310343,801138999;454,089430592873;92,2569235782939;6005,93471159897;3,53400722383414;2,89868777399555;6362;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
