ASBGSEX;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Iran, Islamic Republic of;354,263450267756;2,49019768654448;285,639326002031;9,51728761152617;-68,6241242657249;9,83767492848697;-6,9756446278795;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Italy;354,263450267756;2,49019768654448;394,657532306204;5,58162395818032;40,394082038448;6,11192363569802;6,60906196578073;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Japan;354,263450267756;2,49019768654448;473,734500722133;3,86232821544182;119,471050454376;4,59550473417986;25,9973729470432;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Latvia;354,263450267756;2,49019768654448;444,64145068999;8,27949862644168;90,378000422234;8,64587659079871;10,4533067842326;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Lithuania;354,263450267756;2,49019768654448;437,239109768147;5,13938622942743;82,9756595003904;5,71089969560837;14,5293498262976;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Moldova;354,263450267756;2,49019768654448;392,930588170315;8,51976381135258;38,6671379025591;8,87623005105797;4,35625684329242;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Morocco;354,263450267756;2,49019768654448;224,496090029409;6,60993403600606;-129,767360238347;7,06344904975061;-18,3716707410707;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Netherlands;354,263450267756;2,49019768654448;467,196134033185;7,02606647319368;112,932683765429;7,45430711762051;15,1499907346825;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;New Zealand;354,263450267756;2,49019768654448;382,275534001954;4,91558042710492;28,0120837341976;5,51035529284714;5,08353495292025;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
GIRL;10;ASMMAT0;IDCNTRY;Armenia;Norway;354,263450267756;2,49019768654448;346,030097615575;4,45614455586166;-8,23335265218136;5,10473396180516;-1,61288574757965;TOTWGT;JRR;HALF;Y;25-FEB-26;22h30m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
