IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Hong Kong, SAR;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;BOY;151,159940563627;6,79387148583169;170,340933379072;5,82037917026723;19,1809928154447;7,0216306464349;2,73170062358428;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;GIRL;170,340933379072;5,82037917026723;151,159940563627;6,79387148583169;-19,1809928154447;7,0216306464349;-2,73170062358428;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;BOY;170,340933379072;5,82037917026723;170,340933379072;5,82037917026723;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;GIRL;72,8176752372444;5,23873189288966;72,8176752372444;5,23873189288966;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;BOY;72,8176752372444;5,23873189288966;78,0936278264874;4,30136559159884;5,27595258924302;6,9446968188891;,75970956354679;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;GIRL;78,0936278264874;4,30136559159884;72,8176752372444;5,23873189288966;-5,27595258924302;6,9446968188891;-,75970956354679;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;ASMMAT0;   50,00;   90,00;ASBGSEX;BOY;BOY;78,0936278264874;4,30136559159884;78,0936278264874;4,30136559159884;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;GIRL;108,469093799056;6,29561198350554;108,469093799056;6,29561198350554;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;BOY;108,469093799056;6,29561198350554;109,209957781107;7,34656437080163;,740863982051189;9,40280974617303;,0787917656584218;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;GIRL;109,209957781107;7,34656437080163;108,469093799056;6,29561198350554;-,740863982051189;9,40280974617303;-,0787917656584218;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
