"";"IDCNTRY";"ASBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"47";"Lithuania";"Girl";"ASRREA0";2163;12285,4549479999;387,353424364793;50,2824998728071;0,997176527471635;558,382426791175;2,71833374042823;"553 to 564";6,35881609205615;1,03052223229436;67,4272061429517;1,83639284877014;4546,82837584937;247,905079258893;1,49023613917169;2,35883964335915;3,02499194387299;1,16206196521106;3,51522808304468;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"48";"Lithuania";"Boy";"ASRREA0";2143;12147,4093269999;294,074003422132;49,7175001271929;0,997176527471628;538,303739380564;3,26137357230815;"532 to 545";8,20540138412547;2,43115619402457;68,7113810840491;2,19321075278882;4722,35645064967;302,927572375248;2,10325592280903;2,29494552228011;3,72360183945068;1,29628729664925;4,82685776225971;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"49";"Macao SAR";"Girl";"ASRREA0";1990;2037,190013;21,7634938975892;49,1015398398161;0,499105423288102;546,058076952495;1,6045714751173;"543 to 549";2,09364931438923;0,481000304370881;66,2833805351097;1,35436746296937;4393,93286948772;179,480616497062;1,21784370269855;0,957472344843386;0,948207962976983;1,22974253666317;1,16605166567553;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"50";"Macao SAR";"Boy";"ASRREA0";2067;2111,743034;20,504426049548;50,8984601601839;0,499105423288097;545,166761742603;1,69430811505902;"542 to 548";1,56111722617874;1,30956276257609;65,8038054342872;1,2721971461066;4330,55260807044;167,107020355116;1,62506254402735;0,843163619088612;0,745131071840098;1,83886254063162;1,37019361586745;0;68;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"51";"Malta";"Girl";"ASRREA0";1751;1821,640296;24,1722137120376;48,1463247606731;0,595424166002327;463,052633003563;2,56022680289801;"458 to 468";4,83976855906317;1,71499272321417;86,1103491129125;1,67762274145451;7415,15785968109;288,977906389619;1,40497482523955;1,10167649172813;1,1428529111967;1,35435428415324;1,54782773643625;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"52";"Malta";"Boy";"ASRREA0";1887;1961,909757;22,3913458650444;51,8536752393269;0,59542416600233;442,480146671306;2,16477090298055;"438 to 447";2,97080212902791;1,71543093336332;92,2120758102031;2,07380446874511;8504,49991510377;382,520687713929;1,38062416409785;0,753132748567216;0,659169107347479;1,5774302221618;1,03979327144533;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"53";"Morocco";"Girl";"ASRREA0";2694;324621,562178;13709,2443638189;49,0293140827573;1,02648895223202;360,611979250262;4,62773864772552;"352 to 370";20,7414635090796;0,67450148257285;104,39581714277;3,00415484667256;10901,2940093053;626,735197169089;1,16668727515286;4,53631000251409;5,12576788092895;1,03251947396468;5,29245515608181;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"54";"Morocco";"Boy";"ASRREA0";2774;337475,324656;10748,8841969009;50,9706859172427;1,02648895223202;338,431149729538;5,150769663454;"328 to 349";20,8036842389849;5,72674388697311;107,380886844419;2,78134594621746;11533,1966961128;597,352764482861;2,37741408223947;2,68408450744008;5,00376622366936;1,27527546665227;6,38118030590883;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"55";"Oman";"Girl";"ASRREA0";4562;26089,7732759999;467,562322024187;50,0053437326592;0,716345875032573;441,866662138758;3,17220123134686;"436 to 448";9,76988164559719;0,292979006561345;94,9733873510037;1,8599349051583;9020,27705466021;353,492935338422;1,14817396625776;4,43250431743872;4,9411120963505;1,02998797909628;5,08928606260826;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"56";"Oman";"Boy";"ASRREA0";4660;26084,197201;568,783935959499;49,9946562673408;0,716345875032568;395,329291103367;3,90254588328009;"388 to 403";13,595772054503;1,63409231660339;110,956802861299;2,0429191260155;12311,9324242257;453,697786374802;1,61849512594695;3,56159336368181;5,14592637377706;1,12019121165408;5,76442149972401;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"57";"Netherlands";"Girl";"ASRREA0";2111;84279,2747609997;2801,49166841859;50,7087816928847;1,0869660320455;550,2355943459;1,71887878649755;"547 to 554";2,81182395044254;0,142720332228747;57,5373852497567;1,19222369320247;3310,72200627001;137,230433777332;1,09100208980528;1,72675387319613;1,79288999443105;1,05075720768588;1,88389208423633;0;68;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"58";"Netherlands";"Boy";"ASRREA0";2067;81923,2486429999;2927,17059471204;49,2912183071153;1,0869660320455;539,733612507904;2,24460145514627;"535 to 544";4,84428669239345;0,193949000051293;61,4414809920748;1,88629069313168;3775,6639497283;231,673109369209;1,10617803608684;2,49344959044911;2,65202113495769;1,04003664778054;2,75819917104452;0;68;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"59";"New Zealand";"Girl";"ASRREA0";2777;28318,8165830002;610,814549969522;50,3004174866841;0,86340790842072;533,888737766;2,42838140685164;"529 to 539";5,72416723417911;0,17286902296366;87,347459252431;1,91926625920832;7630,31974015578;334,90917828469;1,062914437811;2,01915023825768;2,08326950254261;1,03019985543599;2,14618394035361;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"60";"New Zealand";"Boy";"ASRREA0";2833;27980,5502970002;674,454316259373;49,6995825133159;0,863407908420724;512,432403927515;3,02260858401209;"507 to 518";7,91853426258134;1,21762838956226;91,7842851644932;2,25623511033003;8425,46200558814;413,740828495566;1,40941864378974;2,17959930496026;2,66254925261241;1,15376941605419;3,07196789640215;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"61";"Norway";"Girl";"ASRREA0";2109;28281,6433609999;965,831150499894;50,2738061947047;1,13050076916888;569,647640811582;2,56458073812325;"565 to 575";6,1810788336935;0,395995528659291;63,5359978706972;1,73229308263488;4037,05882125137;219,981564671487;1,20687203405265;2,84697091783233;3,22905754844038;1,06406576251717;3,43592958249303;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"62";"Norway";"Boy";"ASRREA0";2085;27973,5827729998;698,872769046479;49,7261938052953;1,13050076916887;548,518380594367;2,56602857130373;"543 to 554";5,67139185908434;0,913110769662727;65,5575420761451;1,74205220089784;4298,3506348329;228,786659944642;1,44292244083545;2,21352385689319;2,75102080560037;1,16100294113871;3,19394324643581;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"63";"Poland";"Girl";"ASRREA0";2216;160959,494589;4630,20686458036;49,6175017978654;0,830275860335411;573,578670191909;2,48983415488331;"569 to 578";5,6822111814717;0,517062937351775;69,0378357636671;1,68430115908337;4766,40892281098;232,563698882434;1,24039302706235;2,32359258222887;2,64177500966814;1,09099678291398;2,88216803673049;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"64";"Poland";"Boy";"ASRREA0";2197;163441,147839;4155,0144059821;50,3824982021346;0,830275860335411;555,809814164045;2,64202170847447;"551 to 561";6,2368917124469;0,743386995603462;73,7968769281375;1,62143284836495;5446,1922537369;239,308428835338;1,29988313912719;2,16623486652451;2,51596903925746;1,11919190357593;2,81585217838465;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
