IDCNTRY;ASBGSEX;dvar;n;TOTWGT;sumw_se;pct;pct_se;mnpv;mnpv_se;mnpv_ci;mnx_svr;mnx_ivr;sdpv;sdpv_se;vrpv;vrpv_se;DEff1;DEff2;DEff3;DEff4;DEff5;pctmiss;nvarstrat;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Singapore;BOY;ASMMAT0;3310;25489,2766752508;706,189065749018;51,012417975134;1,42758888221955;590,358141970091;6,19244537127973;578 to 602;38,2666380250137;,0797416512699726;87,8730980345427;3,65877416521042;7721,74626811375;643,080408568363;1,03418201745291;15,8942431658793;16,4033584457232;1,00208384262077;16,4375404631761;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Slovenia;GIRL;ASMMAT0;1497;8901,85002087993;321,505599926697;48,3648485760719;1,12508105723363;476,574490743578;2,96325986390371;471 to 482;7,83119055372912;,949718467293543;74,637763371548;1,82639350436036;5571,32598279809;272,549512088463;1,25518674547642;1,87972519750934;2,10421940757534;1,12127382941043;2,35940615305175;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Slovenia;BOY;ASMMAT0;1563;9503,76952092103;337,396109576421;51,6351514239281;1,12508105723362;481,677187303456;3,49437956803647;475 to 489;11,1902400008265;1,02044856468429;81,0533283983304;1,88788433925328;6569,84568973838;306,671473048811;1,24276994954276;2,33750861520065;2,66221551422592;1,0911909453782;2,90498546376868;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Tunisia;GIRL;ASMMAT0;2087;104426,483491765;2324,10782117981;48,2563288433163;,864029659950408;342,115693062975;4,99952230816972;332 to 352;23,6378084473293;1,35741486255734;98,4799909055665;2,72677677769984;9699,1862938775;544,512337911157;1,29207860662965;4,16250945921146;5,08621081551105;1,05742558010748;5,3782894221407;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Tunisia;BOY;ASMMAT0;2245;111973,076928233;2599,67292037874;51,7436711566837;,864029659950409;336,715981417549;4,85376536212934;327 to 346;21,7550774415345;1,80396074907203;100,525435169397;2,63627637230413;10106,5977235608;535,868231112152;1,40071762945758;3,73609858183918;4,83250151951604;1,08292136646813;5,23321914897363;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States;GIRL;ASMMAT0;4896;1745749,73717814;34977,099533811;49,7592657576913;,460883184653553;514,354524277049;2,37313303274453;510 to 519;5,38467575665452;,24708463444875;74,2325161568412;1,13310710219764;5510,6977246645;168,916528615717;1,21952326741615;4,1028807833216;4,78403531127913;1,045886631919;5,00355857869528;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
United States;BOY;ASMMAT0;4904;1762641,53547302;31513,501562438;50,2407342423087;,460883184653557;522,568231605916;2,71921366094394;517 to 528;7,35557713541333;,038545798450842;77,8203060102816;1,2646546913668;6056,35555740418;196,429390262099;1,03121160800604;5,80601256532964;5,95601594559083;1,00524034997407;5,98722755359688;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Yemen;GIRL;ASMMAT0;1625;162249,118470614;9638,85711822284;37,9225053945643;1,7799805284441;274,667567086587;8,59807398043463;258 to 292;67,3852338036767;6,54164236935029;111,394282812243;4,30935133545392;12410,5623674077;959,662941435082;1,8565420756525;5,21386116814708;8,82321055962325;1,09707827665048;9,67975263527575;0;61;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Yemen;BOY;ASMMAT0;2421;265594,761522269;9840,13869993243;62,0774946054357;1,7799805284441;282,705622073157;8,77488915381145;266 to 300;73,5643619298729;3,43431773180503;114,717971624221;4,60015241040166;13160,8102160448;1057,77639158382;1,63176074209804;8,68038445856671;13,5325498437091;1,04668453095643;14,1643105858071;0;70;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
England;GIRL;ASMMAT0;1730;285372,098295549;8610,83361010963;49,5535358270248;,93696207456163;530,509407451759;3,96211134849557;523 to 538;14,8512865684794;,847039769397908;84,7999471383147;2,16798957144837;7191,58011067581;372,69903165603;1,20376311999682;3,13714144209649;3,57261205021257;1,0570347737546;3,77637517020939;0;61;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
