BSBG01;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Girl;BSMMAT0;IDCNTRY;Australia;Canada (Quebec);51,1668215572466;1,60499612075975;52,9050607704198;1,89763929736025;1,73823921317317;2,48536666319876;,69938944579549;504,44953504007;3,84288662134017;538,721434774298;3,54975343650659;34,271899734228;5,23149376798497;6,55107341309681;24 to 45;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Argentina, Buenos Aires;51,1668215572466;1,60499612075975;50,8419026398411;1,64029047452669;-,324918917405472;2,294899864586;-,141583047879123;504,44953504007;3,84288662134017;389,253733874685;5,08206304610749;-115,195801165385;6,37143173777186;-18,080049493816;-128 to -103;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Australia;48,2146753078988;,935446295047517;51,1668215572466;1,60499612075975;2,9521462493478;1,85770619813036;1,58913516697038;461,998717877836;2,40613898498576;504,44953504007;3,84288662134017;42,4508171622341;4,53401393905483;9,36274518182964;34 to 51;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Bahrain;48,2146753078988;,935446295047517;48,2146753078988;,935446295047517;0; ; ;461,998717877836;2,40613898498576;461,998717877836;2,40613898498576;0; ; ; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Botswana;48,2146753078988;,935446295047517;51,1300922375714;,60316304900907;2,91541692967262;1,11304332108326;2,61932026763812;461,998717877836;2,40613898498576;400,267350435384;2,50662849331126;-61,7313674424517;3,47457784753028;-17,7665806182268;-69 to -55;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Canada;48,2146753078988;,935446295047517;50,6513777530705;,949018804328567;2,43670244517168;1,33255261130184;1,82859755367643;461,998717877836;2,40613898498576;525,830709549644;1,89398944230001;63,8319916718078;3,06213990905252;20,8455503561751;58 to 70;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Chile;48,2146753078988;,935446295047517;47,6439769281503;1,78263954811311;-,570698379748519;2,01317250364072;-,283482105341912;461,998717877836;2,40613898498576;418,373639708096;3,67068443781212;-43,6250781697403;4,38901230996957;-9,93961171415415;-52 to -35;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Chinese Taipei;48,2146753078988;,935446295047517;48,7197699211488;,815828094772333;,505094613250012;1,24122328818709;,406932916951424;461,998717877836;2,40613898498576;599,067987345619;2,57138867938189;137,069269467783;3,52158267764958;38,9226328087426;130 to 144;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Georgia;48,2146753078988;,935446295047517;47,2276144102369;,861430232043581;-,987060897661962;1,27166104587535;-,776198107871204;461,998717877836;2,40613898498576;453,734108038117;3,96428747474155;-8,26460983971884;4,63735700560794;-1,78218106342136;-17 to 1;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Bahrain;Hong Kong, SAR;48,2146753078988;,935446295047517;47,4516023062428;2,07690738058794;-,763073001656009;2,27785074982071;-,334996927132329;461,998717877836;2,40613898498576;591,519533685836;4,69093005655836;129,520815808;5,27203277783731;24,5675285541627;119 to 140;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
