IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Cyprus;10;ASRREA0;ASBGSEX;BOY;BOY;370,8595634;4,98839288101846;370,8595634;4,98839288101846;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;50;ASRREA0;ASBGSEX;GIRL;GIRL;510,6434104;3,4531649053626;510,6434104;3,4531649053626;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;50;ASRREA0;ASBGSEX;GIRL;BOY;510,6434104;3,4531649053626;488,4117696;5,85888309096421;-22,2316408;6,33850171744406;-3,50739682515455;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;50;ASRREA0;ASBGSEX;BOY;GIRL;488,4117696;5,85888309096421;510,6434104;3,4531649053626;22,2316408;6,33850171744406;3,50739682515455;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;50;ASRREA0;ASBGSEX;BOY;BOY;488,4117696;5,85888309096421;488,4117696;5,85888309096421;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;90;ASRREA0;ASBGSEX;GIRL;GIRL;604,2521774;8,08291099725982;604,2521774;8,08291099725982;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;90;ASRREA0;ASBGSEX;GIRL;BOY;604,2521774;8,08291099725982;582,788549;6,4759430277292;-21,4636284;9,45672062784715;-2,26966929072602;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;90;ASRREA0;ASBGSEX;BOY;GIRL;582,788549;6,4759430277292;604,2521774;8,08291099725982;21,4636284;9,45672062784715;2,26966929072602;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;90;ASRREA0;ASBGSEX;BOY;BOY;582,788549;6,4759430277292;582,788549;6,4759430277292;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;10;ASRREA0;ASBGSEX;GIRL;GIRL;461,4374832;5,47334563079871;461,4374832;5,47334563079871;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
