"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"39";"Cyprus";"BSDGSLM_D2";-10,9983871576654;-0,0540354470835607;3,60555509488994;0,0177436946725327;-3,05040052591433;-3,04533233245992;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"40";"Cyprus";"BSDGSLM_D3";-35,1108429445331;-0,189618508480326;4,34183571156612;0,023173807791949;-8,08663553321516;-8,18244934896727;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"41";"Cyprus";"BSBG01_D2";2,3330172669313;0,0126208782091477;4,02626581127101;0,021886194842876;0,579449389655378;0,576659318796835;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"42";"Cyprus";"BSSSCI0_";0,752513550378863;0,731083599771533;0,0163254821137199;0,0126563989778843;46,0944151686922;57,7639501606283;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"43";"Czech Republic";"(CONSTANT)";197,407369520671;NA;35,3586107629432;NA;5,58300694685548;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"44";"Czech Republic";"BSDAGE";-7,13840333750817;-0,0364450347181837;2,42876017570743;0,0124862924729225;-2,93911412452609;-2,91880354374348;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"45";"Czech Republic";"BSDGSLM_D2";-13,8712558126239;-0,0693534561733191;3,53034381739569;0,018261437190568;-3,92915153030525;-3,7978093098357;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"46";"Czech Republic";"BSDGSLM_D3";-30,5404352256646;-0,164567209612577;3,792945263791;0,0213122384741629;-8,05190507683199;-7,72172335684421;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"47";"Czech Republic";"BSBG01_D2";-4,30036999539379;-0,0245686415420786;1,76915314344248;0,0101104577586664;-2,43075056070385;-2,43002266846119;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"48";"Czech Republic";"BSSSCI0_";0,843721648905901;0,740076470469919;0,0187252234785926;0,00919147604471305;45,058028272425;80,5176956203473;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
