IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Japan;ASDMSCL;ASBGSEX;GIRL;BOY;49,0756146510986;,591793216153463;50,9243853489014;,591793216153458;1,84877069780277;1,18358643230692;1,5620073425473;1,94944733969155;,0172336467798965;1,70051183935064;,0185883066036366;-,248935500340912;,0211103558673532;-11,7921034541103;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;ASDMSCL;ASBGSEX;BOY;GIRL;50,9243853489014;,591793216153458;49,0756146510986;,591793216153463;-1,84877069780277;1,18358643230692;-1,5620073425473;1,70051183935064;,0185883066036366;1,94944733969155;,0172336467798965;,248935500340912;,0211103558673532;11,7921034541103;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;ASDMSCL;ASBGSEX;BOY;BOY;50,9243853489014;,591793216153458;50,9243853489014;,591793216153458;0; ; ;1,70051183935064;,0185883066036366;1,70051183935064;,0185883066036366;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;ASDMSCL;ASBGSEX;GIRL;GIRL;49,0393369392098;,899220114966095;49,0393369392098;,899220114966095;0; ; ;1,72566002064831;,0245074312266388;1,72566002064831;,0245074312266388;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;ASDMSCL;ASBGSEX;GIRL;BOY;49,0393369392098;,899220114966095;50,9606630607902;,899220114966095;1,92132612158033;1,79844022993219;1,06832914967253;1,72566002064831;,0245074312266388;1,60153563603251;,0209224777651558;-,1241243846158;,0310347496751684;-3,99952910575962;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;ASDMSCL;ASBGSEX;BOY;GIRL;50,9606630607902;,899220114966095;49,0393369392098;,899220114966095;-1,92132612158033;1,79844022993219;-1,06832914967253;1,60153563603251;,0209224777651558;1,72566002064831;,0245074312266388;,1241243846158;,0310347496751684;3,99952910575962;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Latvia;ASDMSCL;ASBGSEX;BOY;BOY;50,9606630607902;,899220114966095;50,9606630607902;,899220114966095;0; ; ;1,60153563603251;,0209224777651558;1,60153563603251;,0209224777651558;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;ASDMSCL;ASBGSEX;GIRL;GIRL;49,0909704565601;,942332002191422;49,0909704565601;,942332002191422;0; ; ;1,52014472627179;,0200306929185159;1,52014472627179;,0200306929185159;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;ASDMSCL;ASBGSEX;GIRL;BOY;49,0909704565601;,942332002191422;50,9090295434399;,942332002191431;1,81805908687988;1,88466400438285;,964659526924649;1,52014472627179;,0200306929185159;1,41017645077108;,0196926445857227;-,109968275500709;,0216531966593223;-5,07861620761497;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Lithuania;ASDMSCL;ASBGSEX;BOY;GIRL;50,9090295434399;,942332002191431;49,0909704565601;,942332002191422;-1,81805908687988;1,88466400438285;-,964659526924649;1,41017645077108;,0196926445857227;1,52014472627179;,0200306929185159;,109968275500709;,0216531966593223;5,07861620761497;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
