IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Canada;90;BSMMAT0;BSBG01;Boy;Girl;619,067652;3,21537350848289;609,002784;2,81497978838498;-10,064868;3,38127981347203;-2,97664451190893;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;90;BSMMAT0;BSBG01;Boy;Boy;619,067652;3,21537350848289;619,067652;3,21537350848289;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;10;BSMMAT0;BSBG01;Girl;Girl;316,723026;6,33097177140017;316,723026;6,33097177140017;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;10;BSMMAT0;BSBG01;Girl;Boy;316,723026;6,33097177140017;332,499944;6,15420867827425;15,776918;7,8321916834194;2,01436821744282;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;10;BSMMAT0;BSBG01;Boy;Girl;332,499944;6,15420867827425;316,723026;6,33097177140017;-15,776918;7,8321916834194;-2,01436821744282;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;10;BSMMAT0;BSBG01;Boy;Boy;332,499944;6,15420867827425;332,499944;6,15420867827425;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;50;BSMMAT0;BSBG01;Girl;Girl;418,671428;4,74759868548975;418,671428;4,74759868548975;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;50;BSMMAT0;BSBG01;Girl;Boy;418,671428;4,74759868548975;436,424314;4,5494561760551;17,752886;5,8444477589817;3,03756432294522;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;50;BSMMAT0;BSBG01;Boy;Girl;436,424314;4,5494561760551;418,671428;4,74759868548975;-17,752886;5,8444477589817;-3,03756432294522;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;50;BSMMAT0;BSBG01;Boy;Boy;436,424314;4,5494561760551;436,424314;4,5494561760551;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;90;BSMMAT0;BSBG01;Girl;Girl;519,125464;5,18352498802173;519,125464;5,18352498802173;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;90;BSMMAT0;BSBG01;Girl;Boy;519,125464;5,18352498802173;542,370188;6,81794579988459;23,244724;8,39413640210034;2,76916205390513;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
